Brand,Model,Generation,Modification (Engine),Start of production,End of production,Powertrain Architecture,Body type,Performance specs,Fuel Type,Engine specs,Power,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,Seats,Doors,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Maximum speed,Weight-to-power ratio,Weight-to-torque ratio,Power per litre,Torque,Engine location,Engine Model/Code,Engine displacement,Number of cylinders,Position of cylinders,Cylinder Bore,Piston Stroke,Compression ratio,Number of valves per cylinder,Fuel System,Valvetrain,"Space, Volume and weights",Kerb Weight,Max. weight,Max load,Fuel tank capacity,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Number of Gears (automatic transmission),Front brakes,Rear brakes,Steering type,Number of Gears (manual transmission),Front suspension,Rear suspension,Assisting systems,Tires size,Fuel consumption (economy) - combined,Wheel rims size,Trunk (boot) space - minimum,Power steering,Trunk (boot) space - maximum,Minimum turning circle (turning diameter),Engine oil capacity,Coolant,Ride height (ground clearance),Approach angle,Departure angle,Emission standard,Electric cars and hybrids specs,All-electric range,Electric motor 1,Electric motor power,Electric motor Torque,System power,System torque,Internal combustion engine specs,Gross battery capacity,Average Energy consumption,Drag coefficient (Cd),Fuel consumption at Low speed (WLTP),Fuel consumption at Medium speed (WLTP),Fuel consumption at high speed (WLTP),Fuel consumption at very high speed (WLTP),Combined fuel consumption (WLTP),CO2 emissions (WLTP),Engine systems,Front overhang,Rear overhang,CO2 emissions,Permitted trailer load with brakes (12%),Permitted trailer load without brakes,Battery voltage,Battery technology,Electric motor 2,Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - combined (NEDC),CO2 emissions (NEDC),Maximum engine speed,Electric motor 3,Electric motor 4,Oil viscosity,Fuel consumption (economy) - extra urban (NEDC),Ramp angle,Width including mirrors,Acceleration 0 - 60 mph,Fuel consumption (economy) - urban (Ethanol - E85),Fuel consumption (economy) - extra urban (Ethanol - E85),Power (Ethanol - E85),Power per litre (Ethanol - E85),Torque (Ethanol - E85)
GAZ,13,13,5.5 V8 (195 Hp),1959 year,1981 year,Internal Combustion engine,Sedan,Performance specs,Petrol (Gasoline),Engine specs,195 Hp,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,14,14,5.5 V8 (220 Hp),1977 year,1989 year,Internal Combustion engine,Sedan,Performance specs,Petrol (Gasoline),Engine specs,220 Hp @ 4200 rpm.,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,7,5,29 l/100 km  8.11 US mpg9.74 UK mpg3.45 km/l,20 l/100 km  11.76 US mpg14.12 UK mpg5 km/l,15 sec,15 sec,14.3 sec,175 km/h  108.74 mph,"11.9 kg/Hp, 84.1 Hp/tonne","5.8 kg/Nm, 172.5 Nm/tonne",39.8 Hp/l,451 Nm @ 2700-2800 rpm.  332.64 lb.-ft. @ 2700-2800 rpm.,"Front, Longitudinal",GAZ-14,5530 cm3 337.46 cu. in.,8,V-engine,100 mm  3.94 in.,88 mm  3.46 in.,8,2,Carburettor,OHC,"Space, Volume and weights",2615 kg  5765.09 lbs.,3175 kg  6999.68 lbs.,560 kg  1234.59 lbs.,100 l  26.42 US gal | 22 UK gal,Dimensions,6114 mm  240.71 in.,2020 mm  79.53 in.,1525 mm  60.04 in.,3450 mm  135.83 in.,1580 mm  62.2 in.,1580 mm  62.2 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,3,Disc,Drum,Worm-reduction unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,20,20,2.1 (52 Hp),1946 year,1956 year,Internal Combustion engine,Sedan,Performance specs,Petrol (Gasoline),Engine specs,52 Hp @ 3600 rpm.,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,5,4,,,46 sec,46 sec,43.7 sec,105 km/h  65.24 mph,"28.1 kg/Hp, 35.6 Hp/tonne","11.5 kg/Nm, 87 Nm/tonne",24.6 Hp/l,127 Nm @ 2200 rpm.  93.67 lb.-ft. @ 2200 rpm.,"Front, Longitudinal",,2111 cm3 128.82 cu. in.,4,Inline,82 mm  3.23 in.,100 mm  3.94 in.,6.2,2,Carburettor,,"Space, Volume and weights",1460 kg  3218.75 lbs.,1835 kg  4045.48 lbs.,375 kg  826.73 lbs.,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4665 mm  183.66 in.,1695 mm  66.73 in.,1640 mm  64.57 in.,2700 mm  106.3 in.,1364 mm  53.7 in.,1362 mm  53.62 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Drum,Drum,,3,Coil spring,Leaf spring,ABS (Anti-lock braking system),205/75 R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,20,20M,2.1 (52 Hp),1946 year,1956 year,Internal Combustion engine,Sedan,Performance specs,Petrol (Gasoline),Engine specs,52 Hp @ 3600 rpm.,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,5,4,,,46 sec,46 sec,43.7 sec,105 km/h  65.24 mph,"28.1 kg/Hp, 35.6 Hp/tonne","11.5 kg/Nm, 87 Nm/tonne",24.6 Hp/l,127 Nm @ 2200 rpm.  93.67 lb.-ft. @ 2200 rpm.,"Front, Longitudinal",,2111 cm3 128.82 cu. in.,4,Inline,82 mm  3.23 in.,100 mm  3.94 in.,6.2,2,Carburettor,,"Space, Volume and weights",1460 kg  3218.75 lbs.,1835 kg  4045.48 lbs.,375 kg  826.73 lbs.,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4665 mm  183.66 in.,1695 mm  66.73 in.,1640 mm  64.57 in.,2700 mm  106.3 in.,1364 mm  53.7 in.,1362 mm  53.62 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Drum,Drum,,3,Coil spring,Leaf spring,,205/75 R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,21,21,2.4 Automat (80 Hp),1958 year,1959 year,Internal Combustion engine,Sedan,Performance specs,Petrol (Gasoline),Engine specs,80 Hp @ 4000 rpm.,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,5,4,,,,,,135 km/h  83.89 mph,"18.5 kg/Hp, 54.1 Hp/tonne","8.2 kg/Nm, 121.6 Nm/tonne",32.7 Hp/l,180 Nm @ 2200 rpm.  132.76 lb.-ft. @ 2200 rpm.,"Front, Longitudinal",,2445 cm3 149.2 cu. in.,4,Inline,92 mm  3.62 in.,92 mm  3.62 in.,6.6,2,Carburettor,,"Space, Volume and weights",1480 kg  3262.84 lbs.,,,60 l  15.85 US gal | 13.2 UK gal,Dimensions,4770 mm  187.8 in.,1885 mm  74.21 in.,1620 mm  63.78 in.,2700 mm  106.3 in.,1410 mm  55.51 in.,1420 mm  55.91 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,3,Drum,Drum,Cone worm with recirculation balls,,Coil spring,Leaf spring,,P205/75 R15,9 l/100 km  26.13 US mpg31.39 UK mpg11.11 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,21,21,2.4 (70 Hp),1956 year,1970 year,Internal Combustion engine,Sedan,Performance specs,Petrol (Gasoline),Engine specs,70 Hp @ 4000 rpm.,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,5,4,,,,,,130 km/h  80.78 mph,"20.9 kg/Hp, 47.9 Hp/tonne","8.6 kg/Nm, 116.4 Nm/tonne",28.6 Hp/l,170 Nm @ 2200 rpm.  125.39 lb.-ft. @ 2200 rpm.,"Front, Longitudinal",,2445 cm3 149.2 cu. in.,4,Inline,92 mm  3.62 in.,92 mm  3.62 in.,6.6,2,Carburettor,,"Space, Volume and weights",1460 kg  3218.75 lbs.,1885 kg  4155.71 lbs.,425 kg  936.96 lbs.,60 l  15.85 US gal | 13.2 UK gal,Dimensions,4770 mm  187.8 in.,1885 mm  74.21 in.,1620 mm  63.78 in.,2700 mm  106.3 in.,1410 mm  55.51 in.,1420 mm  55.91 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Drum,Drum,Cone worm with recirculation balls,3,Coil spring,Leaf spring,,P205/75 R15,9 l/100 km  26.13 US mpg31.39 UK mpg11.11 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,22,22B,2.4 (76 Hp),1962 year,1970 year,Internal Combustion engine,Station wagon (estate),Performance specs,Petrol (Gasoline),Engine specs,76 Hp @ 4000 rpm.,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,5,5,,,,,,120 km/h  74.56 mph,"20.3 kg/Hp, 49.2 Hp/tonne","9.1 kg/Nm, 110 Nm/tonne",31.1 Hp/l,170 Nm @ 2200 rpm.  125.39 lb.-ft. @ 2200 rpm.,"Front, Longitudinal",,2445 cm3 149.2 cu. in.,4,Inline,92 mm  3.62 in.,92 mm  3.62 in.,6.7,2,Carburettor,,"Space, Volume and weights",1545 kg  3406.14 lbs.,,,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4810 mm  189.37 in.,1800 mm  70.87 in.,1620 mm  63.78 in.,2700 mm  106.3 in.,1410 mm  55.51 in.,1420 mm  55.91 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Drum,Drum,Cone worm with recirculation balls,3,Coil spring,Leaf spring,ABS (Anti-lock braking system),P215/75 R15,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,24,2413,2.4 (100 Hp),1987 year,1992 year,Internal Combustion engine,Station wagon (estate),Performance specs,Petrol (Gasoline),Engine specs,100 Hp @ 4500 rpm.,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,2,3,16 l/100 km  14.7 US mpg17.66 UK mpg6.25 km/l,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,,,145 km/h  90.1 mph,"15.4 kg/Hp, 64.9 Hp/tonne","8.5 kg/Nm, 118.2 Nm/tonne",40.9 Hp/l,182 Nm @ 2600 rpm.  134.24 lb.-ft. @ 2600 rpm.,"Front, Longitudinal",,2445 cm3 149.2 cu. in.,4,Inline,92 mm  3.62 in.,92 mm  3.62 in.,8.2,2,Carburettor,,"Space, Volume and weights",1540 kg  3395.12 lbs.,,,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4735 mm  186.42 in.,1800 mm  70.87 in.,1576 mm  62.05 in.,2800 mm  110.24 in.,1496 mm  58.9 in.,1425 mm  56.1 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Drum,Drum,Cone worm with recirculation balls,4,Coil spring,Leaf spring,,205/70 R14,,5.5J x 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,24,2412,2.4 (100 Hp),1987 year,1992 year,Internal Combustion engine,Station wagon (estate),Performance specs,Petrol (Gasoline),Engine specs,100 Hp @ 4500 rpm.,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,7,5,16 l/100 km  14.7 US mpg17.66 UK mpg6.25 km/l,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,,,145 km/h  90.1 mph,"15.4 kg/Hp, 64.9 Hp/tonne","8.5 kg/Nm, 118.2 Nm/tonne",40.9 Hp/l,182 Nm @ 2600 rpm.  134.24 lb.-ft. @ 2600 rpm.,"Front, Longitudinal",,2445 cm3 149.2 cu. in.,4,Inline,92 mm  3.62 in.,92 mm  3.62 in.,8.2,2,Carburettor,,"Space, Volume and weights",1540 kg  3395.12 lbs.,,,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4735 mm  186.42 in.,1800 mm  70.87 in.,1576 mm  62.05 in.,2800 mm  110.24 in.,1496 mm  58.9 in.,1425 mm  56.1 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Drum,Drum,Cone worm with recirculation balls,4,Coil spring,Leaf spring,,205/70 R14,,5.5J x 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAZ,24,2414,2.4 (100 Hp),1987 year,1992 year,Internal Combustion engine,Station wagon (estate),Performance specs,Petrol (Gasoline),Engine specs,100 Hp @ 4500 rpm.,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,7,5,16 l/100 km  14.7 US mpg17.66 UK mpg6.25 km/l,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,,,145 km/h  90.1 mph,"15.4 kg/Hp, 64.9 Hp/tonne","8.5 kg/Nm, 118.2 Nm/tonne",40.9 Hp/l,182 Nm @ 2600 rpm.  134.24 lb.-ft. @ 2600 rpm.,"Front, Longitudinal",,2445 cm3 149.2 cu. in.,4,Inline,92 mm  3.62 in.,92 mm  3.62 in.,8.2,2,Carburettor,,"Space, Volume and weights",1540 kg  3395.12 lbs.,,,55 l  14.53 US gal | 12.1 UK gal,Dimensions,4735 mm  186.42 in.,1800 mm  70.87 in.,1576 mm  62.05 in.,2800 mm  110.24 in.,1496 mm  58.9 in.,1425 mm  56.1 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,Drum,Drum,Cone worm with recirculation balls,4,Coil spring,Leaf spring,,205/70 R14,,5.5J x 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
