Brand,Model,Generation,Modification (Engine),Start of production,End of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel Type,Maximum speed,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine Model/Code,Engine displacement,Number of cylinders,Number of valves per cylinder,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Max. weight,Max load,Fuel tank capacity,Dimensions,Length,Width,Height,Wheelbase,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Front brakes,Rear brakes,Tires size,Wheel rims size,Front track,Rear (Back) track,Compression ratio,Fuel consumption (economy) - combined,Position of cylinders,Fuel System,Valvetrain,Ride height (ground clearance),Number of Gears (manual transmission),Front suspension,Rear suspension,Assisting systems,Steering type,Power steering,Number of Gears (automatic transmission),Emission standard,Approach angle,Departure angle,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Front overhang,Rear overhang,Trunk (boot) space - minimum,Trunk (boot) space - maximum,CO2 emissions,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Permitted trailer load with brakes (12%),Permitted trailer load without brakes,Acceleration 0 - 200 km/h,Acceleration 0 - 300 km/h,Maximum engine speed,Cylinder Bore,Piston Stroke,Width with mirrors folded,Width including mirrors,Drag coefficient (Cd),Acceleration 0 - 60 mph,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Average Energy consumption,Electric motor 1,Electric motor power,Electric motor 2,System power,System torque,Minimum turning circle (turning diameter),Engine oil capacity,Oil viscosity,Engine oil specification,Coolant,Engine systems,Permitted towbar download,Max. roof load,Ramp angle,Wading depth,Electric motor Torque,Internal combustion engine specs,Fuel consumption at Low speed (WLTP),Fuel consumption at Medium speed (WLTP),Fuel consumption at high speed (WLTP),Fuel consumption at very high speed (WLTP),Combined fuel consumption (WLTP),CO2 emissions (WLTP),Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),CO2 emissions (NEDC),Battery voltage,Battery technology,All-electric range (WLTP),Average Energy consumption (WLTP),Net (usable) battery capacity,"Fuel consumption (economy) - urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","CO2 emissions (NEDC, WLTP equivalent)",Electric motor 3,Power (CNG),Power per litre (CNG),Torque (CNG),CNG cylinder capacity,100 km/h - 0,Fuel consumption (economy) - urban (LPG),Fuel consumption (economy) - extra urban (LPG),Fuel consumption (economy) - combined (LPG),CO2 emissions (LPG),Power (LPG),Power per litre (LPG),Torque (LPG),Fuel tank capacity (LPG),AdBlue tank,Max speed (electric),Permitted trailer load with brakes (8%)
Hafei,Princip,Princip,2.0i (126 Hp),2004 year,2007 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),180 km/h  111.85 mph,"9.4 kg/Hp, 106.8 Hp/tonne","6.7 kg/Nm, 148.3 Nm/tonne",Engine specs,126 Hp @ 5500 rpm.,63.1 Hp/l,175 Nm  129.07 lb.-ft.,"Front, Longitudinal",Mitsubishi 4G63S4M,1997 cm3 121.86 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1180 kg  2601.45 lbs.,1555 kg  3428.19 lbs.,375 kg  826.73 lbs.,50 l  13.21 US gal | 11 UK gal,Dimensions,4434 mm  174.57 in.,1708 mm  67.24 in.,1471 mm  57.91 in.,2600 mm  102.36 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Drum,185/65 R14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafei,Princip,Princip,1.6i (101 Hp),2004 year,2007 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),180 km/h  111.85 mph,"11.7 kg/Hp, 85.6 Hp/tonne","8.9 kg/Nm, 112.7 Nm/tonne",Engine specs,101 Hp @ 6000 rpm.,63.8 Hp/l,133 Nm  98.1 lb.-ft.,,Mitsubishi D A4G18,1584 cm3 96.66 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1180 kg  2601.45 lbs.,1555 kg  3428.19 lbs.,375 kg  826.73 lbs.,50 l  13.21 US gal | 11 UK gal,Dimensions,4434 mm  174.57 in.,1708 mm  67.24 in.,1471 mm  57.91 in.,2600 mm  102.36 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Drum,185/65 R14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafei,Saibao,Saibao,2.0i (126 Hp),2005 year,2007 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),180 km/h  111.85 mph,"9.4 kg/Hp, 106.8 Hp/tonne","6.7 kg/Nm, 148.3 Nm/tonne",Engine specs,126 Hp @ 5500 rpm.,63.1 Hp/l,175 Nm  129.07 lb.-ft.,"Front, Longitudinal",Mitsubishi 4G63S4M,1997 cm3 121.86 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1180 kg  2601.45 lbs.,1555 kg  3428.19 lbs.,375 kg  826.73 lbs.,50 l  13.21 US gal | 11 UK gal,Dimensions,4434 mm  174.57 in.,1708 mm  67.24 in.,1471 mm  57.91 in.,2600 mm  102.36 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Drum,185/65 R14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafei,Saibao,Saibao,1.6i (101 Hp),2005 year,2007 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),180 km/h  111.85 mph,"11.7 kg/Hp, 85.6 Hp/tonne","8.9 kg/Nm, 112.7 Nm/tonne",Engine specs,101 Hp @ 6000 rpm.,63.8 Hp/l,133 Nm  98.1 lb.-ft.,,Mitsubishi D A4G18,1584 cm3 96.66 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1180 kg  2601.45 lbs.,1555 kg  3428.19 lbs.,375 kg  826.73 lbs.,50 l  13.21 US gal | 11 UK gal,Dimensions,4434 mm  174.57 in.,1708 mm  67.24 in.,1471 mm  57.91 in.,2600 mm  102.36 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Drum,185/65 R14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafei,Sigma,Sigma,1.6i (101 Hp),2005 year,2008 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),160 km/h  99.42 mph,"11.7 kg/Hp, 85.6 Hp/tonne","8.9 kg/Nm, 112.7 Nm/tonne",Engine specs,101 Hp @ 6000 rpm.,63.8 Hp/l,133 Nm  98.1 lb.-ft.,,Mitsubishi D A4G18,1584 cm3 96.66 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1180 kg  2601.45 lbs.,1460 kg  3218.75 lbs.,280 kg  617.29 lbs.,50 l  13.21 US gal | 11 UK gal,Dimensions,3885 mm  152.95 in.,1695 mm  66.73 in.,1635 mm  64.37 in.,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Drum,175/65 R14,14,1470 mm  57.87 in.,1470 mm  57.87 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafei,Sigma,Sigma,1.3i (78 Hp),2005 year,2008 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),145 km/h  90.1 mph,"15.1 kg/Hp, 66.1 Hp/tonne","10.9 kg/Nm, 91.5 Nm/tonne",Engine specs,78 Hp @ 6000 rpm.,60 Hp/l,108 Nm  79.66 lb.-ft.,"Front, Transverse",Mitsubishi DA471Q,1299 cm3 79.27 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1180 kg  2601.45 lbs.,1460 kg  3218.75 lbs.,280 kg  617.29 lbs.,50 l  13.21 US gal | 11 UK gal,Dimensions,3885 mm  152.95 in.,1695 mm  66.73 in.,1635 mm  64.37 in.,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Drum,175/65 R14,14,1470 mm  57.87 in.,1470 mm  57.87 in.,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafei,Simbo,Simbo,1.6i (101 Hp),2006 year,2008 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),160 km/h  99.42 mph,"11.7 kg/Hp, 85.6 Hp/tonne","8.9 kg/Nm, 112.7 Nm/tonne",Engine specs,101 Hp @ 6000 rpm.,63.8 Hp/l,133 Nm  98.1 lb.-ft.,,Mitsubishi D A4G18,1584 cm3 96.66 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1180 kg  2601.45 lbs.,1460 kg  3218.75 lbs.,280 kg  617.29 lbs.,50 l  13.21 US gal | 11 UK gal,Dimensions,3885 mm  152.95 in.,1695 mm  66.73 in.,1635 mm  64.37 in.,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Drum,175/65 R14,14,1470 mm  57.87 in.,1470 mm  57.87 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafei,Simbo,Simbo,1.3i (78 Hp),2006 year,2008 year,Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),145 km/h  90.1 mph,"15.1 kg/Hp, 66.1 Hp/tonne","10.9 kg/Nm, 91.5 Nm/tonne",Engine specs,78 Hp @ 6000 rpm.,60 Hp/l,108 Nm  79.66 lb.-ft.,"Front, Transverse",Mitsubishi DA471Q,1299 cm3 79.27 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1180 kg  2601.45 lbs.,1460 kg  3218.75 lbs.,280 kg  617.29 lbs.,50 l  13.21 US gal | 11 UK gal,Dimensions,3885 mm  152.95 in.,1695 mm  66.73 in.,1635 mm  64.37 in.,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Drum,175/65 R14,14,1470 mm  57.87 in.,1470 mm  57.87 in.,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haima,S5,S5,1.6 (122 Hp),2014 year,2017 year,Internal Combustion engine,SUV,5,5,Performance specs,Petrol (Gasoline),,"11.3 kg/Hp, 88.4 Hp/tonne","8.6 kg/Nm, 115.9 Nm/tonne",Engine specs,122 Hp @ 6000 rpm.,76.7 Hp/l,160 Nm @ 4000 rpm.  118.01 lb.-ft. @ 4000 rpm.,"Front, Transverse",GN16-VF1,1591 cm3 97.09 cu. in.,4,4,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1380 kg  3042.38 lbs.,,,60 l  15.85 US gal | 13.2 UK gal,Dimensions,4358 mm  171.57 in.,1823 mm  71.77 in.,1630 mm  64.17 in.,2630 mm  103.54 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Disc,215/65 R16; 215/60 R17,16; 17,,,,7.3 l/100 km  32.22 US mpg38.7 UK mpg13.7 km/l,Inline,Multi-point indirect injection,VVT,201 mm  7.91 in.,5,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer",ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haima,S5,S5,1.5 (163 Hp) Automatic,2014 year,2017 year,Internal Combustion engine,SUV,5,5,Performance specs,Petrol (Gasoline),,"8.8 kg/Hp, 113.6 Hp/tonne","6.4 kg/Nm, 155.4 Nm/tonne",Engine specs,163 Hp @ 5500 rpm.,108.9 Hp/l,223 Nm @ 1800-4000 rpm.  164.48 lb.-ft. @ 1800-4000 rpm.,"Front, Transverse",GN15-TF,1497 cm3 91.35 cu. in.,4,4,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1435 kg  3163.63 lbs.,,,60 l  15.85 US gal | 13.2 UK gal,Dimensions,4358 mm  171.57 in.,1823 mm  71.77 in.,1630 mm  64.17 in.,2630 mm  103.54 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,Disc,Disc,215/60 R17,17,,,,8 l/100 km  29.4 US mpg35.31 UK mpg12.5 km/l,Inline,Multi-point indirect injection,VVT,201 mm  7.91 in.,,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer",ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,CVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
