Brand,Model,Generation,Modification (Engine),Start of production,End of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,Fuel Type,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph,Maximum speed,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine Model/Code,Engine displacement,Number of cylinders,Position of cylinders,Cylinder Bore,Piston Stroke,Compression ratio,Number of valves per cylinder,Fuel System,Engine aspiration,Engine oil capacity,Oil viscosity,Coolant,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Trunk (boot) space - minimum,Fuel tank capacity,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Number of Gears (automatic transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Power steering,Tires size,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Maximum engine speed,Engine location,Valvetrain,Drag coefficient (Cd),Minimum turning circle (turning diameter),Steering type,Wheel rims size,Number of Gears (manual transmission),Max. weight,Max load,Permitted trailer load without brakes,CO2 emissions,Engine systems,Permitted trailer load with brakes (12%),Engine oil specification,Width including mirrors,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Electric motor 1,Electric motor power,Electric motor Torque,Electric motor 2,System power,System torque,Internal combustion engine specs,Emission standard,Trunk (boot) space - maximum,Ride height (ground clearance),Approach angle,Departure angle,Front overhang,Rear overhang,100 km/h - 0,Wading depth,Fuel consumption (economy) - urban (Ethanol - E85),Fuel consumption (economy) - extra urban (Ethanol - E85),Power (Ethanol - E85),Power per litre (Ethanol - E85),Torque (Ethanol - E85),Max. roof load,Permitted towbar download,Battery voltage,Battery technology,Average Energy consumption,Power (CNG),Power per litre (CNG),Torque (CNG),Ramp angle,Permitted trailer load with brakes (8%),Net (usable) battery capacity,All-electric range (WLTP),Average Energy consumption (WLTP),Width with mirrors folded,Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),CO2 emissions (NEDC),AdBlue tank,Fuel consumption at Low speed (WLTP),Fuel consumption at Medium speed (WLTP),Fuel consumption at high speed (WLTP),Fuel consumption at very high speed (WLTP),Combined fuel consumption (WLTP),CO2 emissions (WLTP),"Fuel consumption (economy) - urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","CO2 emissions (NEDC, WLTP equivalent)",Fuel consumption (economy) - combined (Ethanol - E85),CO2 emissions (Ethanol - E85),Fuel consumption (economy) - urban (LPG) (NEDC),Fuel consumption (economy) - extra urban (LPG) (NEDC),Fuel consumption (economy) - combined (LPG) (NEDC),CO2 emissions (LPG) (NEDC),Fuel tank capacity (LPG),All-electric range (NEDC),Average Energy consumption (NEDC),Acceleration 0 - 300 km/h
Cadillac,Allante,Allante,4.6 i V8 32V (299 Hp),1993 year,1996 year,Internal Combustion engine,Cabriolet,2,2,Performance specs,14.8 l/100 km  15.89 US mpg19.09 UK mpg6.76 km/l,8.6 l/100 km  27.35 US mpg32.85 UK mpg11.63 km/l,12.0 l/100 km  19.6 US mpg23.54 UK mpg8.33 km/l,Petrol (Gasoline),6.9 sec,6.9 sec,6.4 sec,240 km/h  149.13 mph,"5.7 kg/Hp, 175.9 Hp/tonne","4.3 kg/Nm, 231.2 Nm/tonne",Engine specs,299 Hp @ 6000 rpm.,65.5 Hp/l,393 Nm @ 4400 rpm.  289.86 lb.-ft. @ 4400 rpm.,L37,4565 cm3 278.57 cu. in.,8,V-engine,93 mm  3.66 in.,84 mm  3.31 in.,10.3,4,Multi-point indirect injection,Naturally aspirated engine,6.6 l  6.97 US qt | 5.81 UK qt,Log in to see.,12.6 l  13.31 US qt | 11.09 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1700 kg  3747.86 lbs.,460 l  16.24 cu. ft.,76 l  20.08 US gal | 16.72 UK gal,Dimensions,4540 mm  178.74 in.,1865 mm  73.43 in.,1310 mm  51.57 in.,2525 mm  99.41 in.,1535 mm  60.43 in.,1535 mm  60.43 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,4,Coil spring,Helical spring,Ventilated discs,Disc,ABS (Anti-lock braking system),Hydraulic Steering,225/60 R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,Allante,Allante,4.5 i V8 (204 Hp),1989 year,1995 year,Internal Combustion engine,Cabriolet,2,2,Performance specs,18 l/100 km  13.07 US mpg15.69 UK mpg5.56 km/l,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,,Petrol (Gasoline),8 sec,8 sec,7.9 sec,210 km/h  130.49 mph,,,Engine specs,204 Hp @ 4400 rpm.,45.7 Hp/l,366 Nm @ 3200 rpm.  269.95 lb.-ft. @ 3200 rpm.,LW2,4467 cm3 272.59 cu. in.,8,V-engine,92 mm  3.62 in.,84 mm  3.31 in.,9,2,Multi-point indirect injection,Naturally aspirated engine,6.2 l  6.55 US qt | 5.46 UK qt,Log in to see.,10.5 l  11.1 US qt | 9.24 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,460 l  16.24 cu. ft.,76 l  20.08 US gal | 16.72 UK gal,Dimensions,4540 mm  178.74 in.,1865 mm  73.43 in.,1310 mm  51.57 in.,2525 mm  99.41 in.,1535 mm  60.43 in.,1535 mm  60.43 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,4,Coil spring,Helical spring,Ventilated discs,Disc,ABS (Anti-lock braking system),Hydraulic Steering,225/55 VR16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,ATS,ATS Coupe,V 3.6 V6 (471 Hp) Automatic,2016 year,,Internal Combustion engine,Coupe,4,2,Performance specs,14.7 l/100 km  16 US mpg19.22 UK mpg6.8 km/l,9.8 l/100 km  24 US mpg28.82 UK mpg10.2 km/l,12.4 l/100 km  18.97 US mpg22.78 UK mpg8.06 km/l,Petrol (Gasoline),4.2 sec,4.2 sec,,298 km/h  185.17 mph,"3.7 kg/Hp, 273 Hp/tonne","2.9 kg/Nm, 349.6 Nm/tonne",Engine specs,471 Hp @ 5850 rpm.,132.2 Hp/l,603 Nm @ 3500 rpm.  444.75 lb.-ft. @ 3500 rpm.,LF4,3564 cm3 217.49 cu. in.,6,V-engine,94 mm  3.7 in.,85.6 mm  3.37 in.,10.2,4,Direct injection,"Twin-Turbo, Intercooler",6.6 l  6.97 US qt | 5.81 UK qt,Log in to see.,10.2 l  10.78 US qt | 8.97 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1725 kg  3802.97 lbs.,295 l  10.42 cu. ft.,60.5 l  15.98 US gal | 13.31 UK gal,Dimensions,4691 mm  184.69 in.,1841 mm  72.48 in.,1384 mm  54.49 in.,2775 mm  109.25 in.,1538 mm  60.55 in.,1559 mm  61.38 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,8 Hydra-Matic,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Electric Steering,255/35 R18; 275/35 R18,4 sec,6500 rpm.,"Front, Longitudinal",DOHC-VVT,0.32,11.7 m  38.39 ft.,Steering rack and pinion,9J x 18; 9.5J x 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,ATS,ATS Coupe,V 3.6 V6 (471 Hp),2016 year,,Internal Combustion engine,Coupe,4,2,Performance specs,13.8 l/100 km  17.04 US mpg20.47 UK mpg7.25 km/l,10.2 l/100 km  23.06 US mpg27.69 UK mpg9.8 km/l,12.4 l/100 km  18.97 US mpg22.78 UK mpg8.06 km/l,Petrol (Gasoline),4.2 sec,4.2 sec,,298 km/h  185.17 mph,"3.7 kg/Hp, 273 Hp/tonne","2.9 kg/Nm, 349.6 Nm/tonne",Engine specs,471 Hp @ 5850 rpm.,132.2 Hp/l,603 Nm @ 3500 rpm.  444.75 lb.-ft. @ 3500 rpm.,LF4,3564 cm3 217.49 cu. in.,6,V-engine,94 mm  3.7 in.,85.6 mm  3.37 in.,10.2,4,Direct injection,"Twin-Turbo, Intercooler",6.6 l  6.97 US qt | 5.81 UK qt,Log in to see.,10.2 l  10.78 US qt | 8.97 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1725 kg  3802.97 lbs.,295 l  10.42 cu. ft.,60.5 l  15.98 US gal | 13.31 UK gal,Dimensions,4691 mm  184.69 in.,1841 mm  72.48 in.,1384 mm  54.49 in.,2775 mm  109.25 in.,1538 mm  60.55 in.,1559 mm  61.38 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Electric Steering,255/35 R18; 275/35 R18,4 sec,6500 rpm.,"Front, Longitudinal",DOHC-VVT,0.32,11.7 m  38.39 ft.,Steering rack and pinion,9J x 18; 9.5J x 18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,ATS,ATS Coupe,V 3.6 V6 (461 Hp) Automatic,2016 year,,Internal Combustion engine,Coupe,4,2,Performance specs,14.7 l/100 km  16 US mpg19.22 UK mpg6.8 km/l,9.8 l/100 km  24 US mpg28.82 UK mpg10.2 km/l,,Petrol (Gasoline),,,3.8 sec,,,,Engine specs,461 Hp @ 5750 rpm.,129.3 Hp/l,603 Nm @ 3500 rpm.  444.75 lb.-ft. @ 3500 rpm.,LF4,3564 cm3 217.49 cu. in.,6,V-engine,94 mm  3.7 in.,85.6 mm  3.37 in.,10.2,4,Direct injection,Naturally aspirated engine,6.6 l  6.97 US qt | 5.81 UK qt,Log in to see.,10.2 l  10.78 US qt | 8.97 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,295 l  10.42 cu. ft.,62.5 l  16.51 US gal | 13.75 UK gal,Dimensions,4691 mm  184.69 in.,1841 mm  72.48 in.,1384 mm  54.49 in.,2775 mm  109.25 in.,1538 mm  60.55 in.,1559 mm  61.38 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,8,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Electric Steering,255/35 ZR18; 275/35 ZR18,,6500 rpm.,"Front, Longitudinal",DOHC,,11.7 m  38.39 ft.,Steering rack and pinion,9J x 18; 9.5J x 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,ATS,ATS Coupe,3.6 V6 (325 Hp) AWD Automatic,2015 year,,Internal Combustion engine,Coupe,4,2,Performance specs,13.1 l/100 km  17.96 US mpg21.56 UK mpg7.63 km/l,9 l/100 km  26.13 US mpg31.39 UK mpg11.11 km/l,10.7 l/100 km  21.98 US mpg26.4 UK mpg9.35 km/l,Petrol (Gasoline),,,,,"5.2 kg/Hp, 194 Hp/tonne","4.5 kg/Nm, 222.7 Nm/tonne",Engine specs,325 Hp @ 6800 rpm.,91.2 Hp/l,373 Nm @ 4800 rpm.  275.11 lb.-ft. @ 4800 rpm.,LFX,3564 cm3 217.49 cu. in.,6,V-engine,94 mm  3.7 in.,85.6 mm  3.37 in.,11.5,4,Direct injection,Naturally aspirated engine,5.7 l  6.02 US qt | 5.02 UK qt,Log in to see.,10.2 l  10.78 US qt | 8.97 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1675 kg  3692.74 lbs.,295 l  10.42 cu. ft.,60.5 l  15.98 US gal | 13.31 UK gal,Dimensions,4663 mm  183.58 in.,1841 mm  72.48 in.,1392-1399 mm  54.8 - 55.08 in.,2775 mm  109.25 in.,1532 mm  60.31 in.,1568 mm  61.73 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),6 Hydra-Matic,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Electric Steering,225/40 R18; 255/35 R18,,7200 rpm.,"Front, Longitudinal",DOHC-VVT,0.29,11.6 m  38.06 ft.,Steering rack and pinion,8J x 18; 9J x 18,,2050 kg  4519.48 lbs.,375 kg  826.73 lbs.,454 kg  1000.9 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,ATS,ATS Coupe,3.6 V6 (325 Hp) Automatic,2015 year,,Internal Combustion engine,Coupe,4,2,Performance specs,13.1 l/100 km  17.96 US mpg21.56 UK mpg7.63 km/l,8.4 l/100 km  28 US mpg33.63 UK mpg11.9 km/l,10.7 l/100 km  21.98 US mpg26.4 UK mpg9.35 km/l,Petrol (Gasoline),,,5.5 sec,,"4.8 kg/Hp, 209.7 Hp/tonne","4.2 kg/Nm, 240.6 Nm/tonne",Engine specs,325 Hp @ 6800 rpm.,91.2 Hp/l,373 Nm @ 4800 rpm.  275.11 lb.-ft. @ 4800 rpm.,LFX,3564 cm3 217.49 cu. in.,6,V-engine,94 mm  3.7 in.,85.6 mm  3.37 in.,11.5,4,Direct injection,Naturally aspirated engine,5.7 l  6.02 US qt | 5.02 UK qt,Log in to see.,10.2 l  10.78 US qt | 8.97 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1550 kg  3417.17 lbs.,295 l  10.42 cu. ft.,60.5 l  15.98 US gal | 13.31 UK gal,Dimensions,4663 mm  183.58 in.,1841 mm  72.48 in.,1392-1399 mm  54.8 - 55.08 in.,2775 mm  109.25 in.,1532 mm  60.31 in.,1568 mm  61.73 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6 Hydra-Matic,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Electric Steering,225/40 R18; 255/35 R18,,7200 rpm.,"Front, Longitudinal",DOHC-VVT,0.29,10.97 m  35.99 ft.,Steering rack and pinion,8J x 18; 9J x 18,,2050 kg  4519.48 lbs.,500 kg  1102.31 lbs.,454 kg  1000.9 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,ATS,ATS Coupe,2.0 (276 Hp) AWD,2015 year,,Internal Combustion engine,Coupe,4,2,Performance specs,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,6.7 l/100 km  35.11 US mpg42.16 UK mpg14.93 km/l,8.8 l/100 km  26.73 US mpg32.1 UK mpg11.36 km/l,Petrol (Gasoline),6.2 sec,6.2 sec,,,,,Engine specs,276 Hp @ 5500 rpm.,138.1 Hp/l,400 Nm @ 3000-4600 rpm.  295.02 lb.-ft. @ 3000-4600 rpm.,LTG,1998 cm3 121.93 cu. in.,4,Inline,86 mm  3.39 in.,86 mm  3.39 in.,9.5,4,Direct injection,Turbocharger,5.7 l  6.02 US qt | 5.02 UK qt,Log in to see.,7.6 l  8.03 US qt | 6.69 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,295 l  10.42 cu. ft.,60.5 l  15.98 US gal | 13.31 UK gal,Dimensions,4663 mm  183.58 in.,1841 mm  72.48 in.,1392-1399 mm  54.8 - 55.08 in.,2775 mm  109.25 in.,1532 mm  60.31 in.,1568 mm  61.73 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Electric Steering,225/40 R18; 255/35 R18,5.9 sec,7000 rpm.,"Front, Longitudinal",DOHC-VVT,0.29,11.6 m  38.06 ft.,Steering rack and pinion,8J x 18; 9J x 18,6,2050 kg  4519.48 lbs.,,454 kg  1000.9 lbs.,203 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,ATS,ATS Coupe,2.0 (276 Hp) Automatic,2015 year,,Internal Combustion engine,Coupe,4,2,Performance specs,12 l/100 km  19.6 US mpg23.54 UK mpg8.33 km/l,6.2 l/100 km  37.94 US mpg45.56 UK mpg16.13 km/l,8.3 l/100 km  28.34 US mpg34.03 UK mpg12.05 km/l,Petrol (Gasoline),6.2 sec,6.2 sec,,,"5.6 kg/Hp, 178.1 Hp/tonne","3.9 kg/Nm, 258.1 Nm/tonne",Engine specs,276 Hp @ 5500 rpm.,138.1 Hp/l,400 Nm @ 3000-4600 rpm.  295.02 lb.-ft. @ 3000-4600 rpm.,LTG,1998 cm3 121.93 cu. in.,4,Inline,86 mm  3.39 in.,86 mm  3.39 in.,9.5,4,Direct injection,Turbocharger,4.7 l  4.97 US qt | 4.14 UK qt,Log in to see.,7.6 l  8.03 US qt | 6.69 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1550 kg  3417.17 lbs.,295 l  10.42 cu. ft.,60.5 l  15.98 US gal | 13.31 UK gal,Dimensions,4663 mm  183.58 in.,1841 mm  72.48 in.,1392-1399 mm  54.8 - 55.08 in.,2775 mm  109.25 in.,1532 mm  60.31 in.,1568 mm  61.73 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Electric Steering,225/40 R18; 255/35 R18,5.9 sec,7000 rpm.,"Front, Longitudinal",DOHC-VVT,0.29,11.09 m  36.38 ft.,Steering rack and pinion,8J x 18; 9J x 18,,2050 kg  4519.48 lbs.,500 kg  1102.31 lbs.,454 kg  1000.9 lbs.,193 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,ATS,ATS Coupe,2.0 (276 Hp),2015 year,,Internal Combustion engine,Coupe,4,2,Performance specs,11.2 l/100 km  21 US mpg25.22 UK mpg8.93 km/l,7.6 l/100 km  30.95 US mpg37.17 UK mpg13.16 km/l,8.9 l/100 km  26.43 US mpg31.74 UK mpg11.24 km/l,Petrol (Gasoline),,,5.6 sec,,"5.6 kg/Hp, 178.1 Hp/tonne","3.9 kg/Nm, 258.1 Nm/tonne",Engine specs,276 Hp @ 5500 rpm.,138.1 Hp/l,400 Nm @ 3000-4600 rpm.  295.02 lb.-ft. @ 3000-4600 rpm.,LTG,1998 cm3 121.93 cu. in.,4,Inline,86 mm  3.39 in.,86 mm  3.39 in.,9.5,4,Direct injection,Turbocharger,4.7 l  4.97 US qt | 4.14 UK qt,Log in to see.,7.6 l  8.03 US qt | 6.69 UK qt,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1550 kg  3417.17 lbs.,295 l  10.42 cu. ft.,60.5 l  15.98 US gal | 13.31 UK gal,Dimensions,4663 mm  183.58 in.,1841 mm  72.48 in.,1392-1399 mm  54.8 - 55.08 in.,2775 mm  109.25 in.,1532 mm  60.31 in.,1568 mm  61.73 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Electric Steering,225/40 R18; 255/35 R18,,7000 rpm.,"Front, Longitudinal",DOHC-VVT,0.29,11.09 m  36.38 ft.,Steering rack and pinion,8J x 18; 9J x 18,6,2050 kg  4519.48 lbs.,500 kg  1102.31 lbs.,454 kg  1000.9 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
