Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,CO2 emissions,Fuel Type,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine displacement,Number of cylinders,Position of cylinders,Fuel System,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Tires size,Wheel rims size,End of production,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Maximum speed,Emission standard,Number of valves per cylinder,Valvetrain,Trunk (boot) space - minimum,Fuel tank capacity,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,Number of Gears (automatic transmission),Steering type,Engine Model/Code,Cylinder Bore,Piston Stroke,Compression ratio,Engine oil capacity,Oil viscosity,Coolant,Max. weight,Max load,Trunk (boot) space - maximum,Minimum turning circle (turning diameter),Power steering,Number of Gears (manual transmission),Maximum engine speed,Ride height (ground clearance),Drag coefficient (Cd),Electric cars and hybrids specs,Battery voltage,Battery technology,Electric motor 1,Electric motor power,Electric motor Torque,System power,Internal combustion engine specs,Permitted trailer load with brakes (12%),Gross battery capacity,Electric motor 2,Engine systems,Permitted trailer load without brakes,Width including mirrors,System torque,Acceleration 0 - 60 mph,Width with mirrors folded,Front overhang,Rear overhang,Approach angle,Departure angle,Ramp angle,Permitted towbar download,Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),Acceleration 0 - 200 km/h,All-electric range,Combined fuel consumption (WLTP),CO2 emissions (WLTP),"Fuel consumption (economy) - urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","CO2 emissions (NEDC, WLTP equivalent)",Max. roof load
IMSA,RXR One,RXR One Super Gran Turismo,4.0 V8 (860 Hp),2017 year,Internal Combustion engine,Coupe,2,2,Performance specs,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,7.8 l/100 km  30.16 US mpg36.22 UK mpg12.82 km/l,9.5 l/100 km  24.76 US mpg29.73 UK mpg10.53 km/l,220 g/km,Petrol (Gasoline),"1.5 kg/Hp, 663.6 Hp/tonne","1.3 kg/Nm, 771.6 Nm/tonne",Engine specs,860 Hp,216 Hp/l,1000 Nm  737.56 lb.-ft.,"Front, Longitudinal",3982 cm3 243 cu. in.,8,V-engine,Direct injection,"Twin-Turbo, Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1296 kg  2857.19 lbs.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,Double wishbone,Double wishbone,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),305/30 ZR20; 315/30 ZR21,12.0J x 20; 12.5J x 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,EX,EX 35,3.5i V6 (302 Hp) 4WD Automatic,2009 year,Internal Combustion engine,Off-road vehicle,5,5,Performance specs,15.9 l/100 km  14.79 US mpg17.77 UK mpg6.29 km/l,10.2 l/100 km  23.06 US mpg27.69 UK mpg9.8 km/l,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,,Petrol (Gasoline),"6.4 kg/Hp, 156.3 Hp/tonne",,Engine specs,302 Hp,86.3 Hp/l,,"Front, Longitudinal",3500 cm3 213.58 cu. in.,6,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1932 kg  4259.33 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),225/55 R18,,2013 year,6.9 sec,6.9 sec,6.6 sec,231 km/h  143.54 mph,Euro 4,4,DOHC,309 l  10.91 cu. ft.,80 l  21.13 US gal | 17.6 UK gal,Dimensions,4630 mm  182.28 in.,1800 mm  70.87 in.,1575 mm  62.01 in.,2800 mm  110.24 in.,1540 mm  60.63 in.,1545 mm  60.83 in.,5,Steering rack and pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,EX,EX 35,3.5i V6 4WD (295 Hp),2007 year,Internal Combustion engine,Off-road vehicle,5,5,Performance specs,15.9 l/100 km  14.79 US mpg17.77 UK mpg6.29 km/l,10.2 l/100 km  23.06 US mpg27.69 UK mpg9.8 km/l,12.3 l/100 km  19.12 US mpg22.97 UK mpg8.13 km/l,,Petrol (Gasoline),"6.5 kg/Hp, 152.7 Hp/tonne","5.3 kg/Nm, 189.4 Nm/tonne",Engine specs,295 Hp,84.3 Hp/l,366 Nm  269.95 lb.-ft.,"Front, Longitudinal",3500 cm3 213.58 cu. in.,6,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1932 kg  4259.33 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),225/55 R18,,2013 year,6.9 sec,6.9 sec,6.6 sec,231 km/h  143.54 mph,Euro 4,4,DOHC,309 l  10.91 cu. ft.,80 l  21.13 US gal | 17.6 UK gal,Dimensions,4630 mm  182.28 in.,1800 mm  70.87 in.,1575 mm  62.01 in.,2800 mm  110.24 in.,1540 mm  60.63 in.,1545 mm  60.83 in.,5,Steering rack and pinion,VQ35VH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,EX,EX 35,3.5i V6 2WD (295 Hp),2007 year,Internal Combustion engine,Off-road vehicle,5,5,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,295 Hp,84.3 Hp/l,366 Nm  269.95 lb.-ft.,"Front, Longitudinal",3500 cm3 213.58 cu. in.,6,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),225/55 R18,,2013 year,,,,,,4,DOHC,,80 l  21.13 US gal | 17.6 UK gal,Dimensions,4630 mm  182.28 in.,1800 mm  70.87 in.,1575 mm  62.01 in.,2800 mm  110.24 in.,,,5,,VQ35VH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,EX,EX 37,3.7i V6 (320 Hp) 4WD Automatic,2007 year,Internal Combustion engine,Off-road vehicle,5,5,Performance specs,,,,,Petrol (Gasoline),,,Engine specs,320 Hp @ 7000 rpm.,86.6 Hp/l,366 Nm @ 5200 rpm.  269.95 lb.-ft. @ 5200 rpm.,"Front, Longitudinal",3696 cm3 225.54 cu. in.,6,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),,,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),225/55 R18,,2013 year,,,,,Euro 5,4,DOHC,309 l  10.91 cu. ft.,80 l  21.13 US gal | 17.6 UK gal,Dimensions,4630 mm  182.28 in.,1800 mm  70.87 in.,1575 mm  62.01 in.,2800 mm  110.24 in.,1540 mm  60.63 in.,1545 mm  60.83 in.,7,Steering rack and pinion,VQ37VHR,95.5 mm  3.76 in.,86 mm  3.39 in.,11,4.9-5.7 l  5.18 - 6.02 US qt | 4.31 - 5.02 UK qt,Log in to see.,9.2-9.6 l  9.72 - 10.14 US qt | 8.09 - 8.45 UK qt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,FX,FX II (facelift 2011),50 V8 32V AWD (390 Hp),2011 year,Internal Combustion engine,Crossover,5,5,Performance specs,18.3 l/100 km  12.85 US mpg15.44 UK mpg5.46 km/l,9.6 l/100 km  24.5 US mpg29.43 UK mpg10.42 km/l,12.8 l/100 km  18.38 US mpg22.07 UK mpg7.81 km/l,,Petrol (Gasoline),"5.4 kg/Hp, 185.9 Hp/tonne","4.2 kg/Nm, 238.3 Nm/tonne",Engine specs,390 Hp @ 6500 rpm.,77.6 Hp/l,500 Nm @ 4400 rpm.  368.78 lb.-ft. @ 4400 rpm.,"Front, Longitudinal",5026 cm3 306.71 cu. in.,8,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2098 kg  4625.3 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),Double wishbone,"Independent, spring multi-link with stabilizer",Disc,Disc,ABS (Anti-lock braking system),265/45 R21,21,2013 year,5.8 sec,5.8 sec,5.5 sec,250 km/h  155.34 mph,Euro 5,4,DOHC,376 l  13.28 cu. ft.,90 l  23.78 US gal | 19.8 UK gal,Dimensions,4859 mm  191.3 in.,1928 mm  75.91 in.,1678 mm  66.06 in.,2885 mm  113.58 in.,1635 mm  64.37 in.,1640 mm  64.57 in.,7,Steering rack and pinion,,,,,,,,2320 kg  5114.72 lbs.,222 kg  489.43 lbs.,1870 l  66.04 cu. ft.,11.2 m  36.75 ft.,Hydraulic Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,FX,FX II,35 V6 (303 Hp),2008 year,Internal Combustion engine,Crossover,5,5,Performance specs,16.6 l/100 km  14.17 US mpg17.02 UK mpg6.02 km/l,9 l/100 km  26.13 US mpg31.39 UK mpg11.11 km/l,11.8 l/100 km  19.93 US mpg23.94 UK mpg8.47 km/l,,Petrol (Gasoline),"6.4 kg/Hp, 155.1 Hp/tonne","5.5 kg/Nm, 181.8 Nm/tonne",Engine specs,303 Hp @ 6800 rpm.,86.6 Hp/l,355 Nm @ 4800 rpm.  261.83 lb.-ft. @ 4800 rpm.,"Front, Longitudinal",3498 cm3 213.46 cu. in.,6,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1953 kg  4305.63 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),Double wishbone,"Independent, spring multi-link with stabilizer",Disc,Disc,ABS (Anti-lock braking system),265/60 R18,,2011 year,6.9 sec,6.9 sec,6.6 sec,228 km/h  141.67 mph,Euro 5,4,DOHC,376 l  13.28 cu. ft.,90 l  23.78 US gal | 19.8 UK gal,Dimensions,4865 mm  191.54 in.,1925 mm  75.79 in.,1650 mm  64.96 in.,2885 mm  113.58 in.,1635 mm  64.37 in.,1640 mm  64.57 in.,7,Steering rack and pinion,,95.5 mm  3.76 in.,81.4 mm  3.2 in.,10.6,,,,2240 kg  4938.35 lbs.,287 kg  632.73 lbs.,1870 l  66.04 cu. ft.,11.2 m  36.75 ft.,Hydraulic Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,FX,FX I (facelift 2006),45 V8 32V (328 Hp) AWD,2006 year,Internal Combustion engine,Crossover,5,5,Performance specs,15.7 l/100 km  14.98 US mpg17.99 UK mpg6.37 km/l,12.4 l/100 km  18.97 US mpg22.78 UK mpg8.06 km/l,,,Petrol (Gasoline),"6.1 kg/Hp, 163.6 Hp/tonne","4.5 kg/Nm, 222.9 Nm/tonne",Engine specs,328 Hp @ 6000 rpm.,73 Hp/l,447 Nm @ 4000 rpm.  329.69 lb.-ft. @ 4000 rpm.,"Front, Longitudinal",4494 cm3 274.24 cu. in.,8,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2005 kg  4420.27 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer",Disc,Disc,ABS (Anti-lock braking system),265/50 R20,,2008 year,6.3 sec,6.3 sec,6 sec,225 km/h  139.81 mph,,4,,776 l  27.4 cu. ft.,90 l  23.78 US gal | 19.8 UK gal,Dimensions,4803 mm  189.09 in.,1925 mm  75.79 in.,1674 mm  65.91 in.,2850 mm  112.2 in.,1593 mm  62.72 in.,1640 mm  64.57 in.,5,,,93 mm  3.66 in.,82.7 mm  3.26 in.,10.5,,,,2478 kg  5463.05 lbs.,473 kg  1042.79 lbs.,1826 l  64.48 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,FX,FX I (facelift 2006),45 V8 32V (319 Hp) AWD,2006 year,Internal Combustion engine,Crossover,5,5,Performance specs,15.7 l/100 km  14.98 US mpg17.99 UK mpg6.37 km/l,12.4 l/100 km  18.97 US mpg22.78 UK mpg8.06 km/l,,,Petrol (Gasoline),"6.3 kg/Hp, 159.1 Hp/tonne","4.3 kg/Nm, 232.4 Nm/tonne",Engine specs,319 Hp @ 6400 rpm.,71 Hp/l,466 Nm @ 4000 rpm.  343.7 lb.-ft. @ 4000 rpm.,"Front, Longitudinal",4494 cm3 274.24 cu. in.,8,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2005 kg  4420.27 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer",Disc,Disc,ABS (Anti-lock braking system),265/50 R20,,2008 year,6.3 sec,6.3 sec,6 sec,225 km/h  139.81 mph,,4,,776 l  27.4 cu. ft.,90 l  23.78 US gal | 19.8 UK gal,Dimensions,4803 mm  189.09 in.,1925 mm  75.79 in.,1674 mm  65.91 in.,2850 mm  112.2 in.,1593 mm  62.72 in.,1640 mm  64.57 in.,5,,,93 mm  3.66 in.,82.7 mm  3.26 in.,10.5,,,,2478 kg  5463.05 lbs.,473 kg  1042.79 lbs.,1826 l  64.48 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infiniti,FX,FX I,35 V6 24V (283 Hp) AWD,2003 year,Internal Combustion engine,Crossover,5,5,Performance specs,14.7 l/100 km  16 US mpg19.22 UK mpg6.8 km/l,10.7 l/100 km  21.98 US mpg26.4 UK mpg9.35 km/l,,,Petrol (Gasoline),"6.9 kg/Hp, 144.4 Hp/tonne","5.4 kg/Nm, 186.7 Nm/tonne",Engine specs,283 Hp @ 6200 rpm.,80.9 Hp/l,366 Nm @ 4800 rpm.  269.95 lb.-ft. @ 4800 rpm.,"Front, Longitudinal",3498 cm3 213.46 cu. in.,6,V-engine,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1960 kg  4321.06 lbs.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer",Disc,Disc,ABS (Anti-lock braking system),265/60 R18,,2006 year,,,,221 km/h  137.32 mph,,4,DOHC,776 l  27.4 cu. ft.,90 l  23.78 US gal | 19.8 UK gal,Dimensions,4803 mm  189.09 in.,1925 mm  75.79 in.,1674 mm  65.91 in.,2850 mm  112.2 in.,1593 mm  62.72 in.,1640 mm  64.57 in.,5,,,95.5 mm  3.76 in.,81.4 mm  3.2 in.,10.3,,,,2427 kg  5350.62 lbs.,467 kg  1029.56 lbs.,1826 l  64.48 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
