Brand,Model,Generation,Modification (Engine),Start of production,End of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel Type,Emission standard,Engine specs,Power,Power per litre,Torque,Engine Model/Code,Engine displacement,Number of cylinders,Number of valves per cylinder,Fuel System,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Fuel tank capacity,Dimensions,Length,Width,Height,Front track,Rear (Back) track,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Number of Gears (manual transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Tires size,Wheel rims size,Maximum speed,Weight-to-power ratio,Weight-to-torque ratio,Kerb Weight,Max. weight,Max load,Trunk (boot) space - minimum,Wheelbase,Minimum turning circle (turning diameter),Assisting systems,Power steering,Engine location,Fuel consumption (economy) - combined,CO2 emissions,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Electric cars and hybrids specs,Gross battery capacity,Electric motor 1,Electric motor power,Electric motor Torque,System power,System torque,Internal combustion engine specs,Position of cylinders,Cylinder Bore,Piston Stroke,Compression ratio,Valvetrain,Engine systems,Number of Gears (automatic transmission),Combined fuel consumption (WLTP),CO2 emissions (WLTP),Acceleration 0 - 60 mph,Trunk (boot) space - maximum,Permitted trailer load with brakes (12%),Permitted trailer load without brakes,Width with mirrors folded,Front overhang,Rear overhang,Ride height (ground clearance),Drag coefficient (Cd),Approach angle,Departure angle,Ramp angle,Wading depth,Steering type,AdBlue tank,All-electric range (WLTP),Engine oil capacity,Oil viscosity,Coolant,Max. roof load,Permitted towbar download,Width including mirrors,Climb angle,Max speed (electric),All-electric range,Electric motor 2,Average Energy consumption (WLTP),Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),CO2 emissions (NEDC),Maximum engine speed,All-electric range (NEDC),Average Energy consumption (NEDC)
JAC,Refine,Refine,2.4 (136 Hp),2006 year,2011 year,Internal Combustion engine,Minivan,7,4,Performance specs,11 l/100 km  21.38 US mpg25.68 UK mpg9.09 km/l,8.8 l/100 km  26.73 US mpg32.1 UK mpg11.36 km/l,Petrol (Gasoline),Euro 3,Engine specs,136 Hp @ 5500 rpm.,57.8 Hp/l,193 Nm @ 3000 rpm.  142.35 lb.-ft. @ 3000 rpm.,HFC4G5A1,2351 cm3 143.47 cu. in.,4,4,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",65 l  17.17 US gal | 14.3 UK gal,Dimensions,4500 mm  177.17 in.,1875 mm  73.82 in.,1730 mm  68.11 in.,1540 mm  60.63 in.,1540 mm  60.63 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,5,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer",Disc,Disc,225/70 R16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC,Rein,Rein,2.4 (130 Hp)4X4,2007 year,2013 year,Internal Combustion engine,Off-road vehicle,5,5,Performance specs,,8.8 l/100 km  26.73 US mpg32.1 UK mpg11.36 km/l,Petrol (Gasoline),Euro 3,Engine specs,130 Hp @ 5500 rpm.,55.3 Hp/l,193 Nm @ 3000 rpm.  142.35 lb.-ft. @ 3000 rpm.,HFC4G5A1,2351 cm3 143.47 cu. in.,4,4,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",65 l  17.17 US gal | 14.3 UK gal,Dimensions,4500 mm  177.17 in.,1875 mm  73.82 in.,1730 mm  68.11 in.,1540 mm  60.63 in.,1540 mm  60.63 in.,"Drivetrain, brakes and suspension specs",,All wheel drive (4x4),5,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer",Disc,Disc,225/70 R16,16,160 km/h  99.42 mph,"13.9 kg/Hp, 71.8 Hp/tonne","9.4 kg/Nm, 106.6 Nm/tonne",1810 kg  3990.37 lbs.,2140 kg  4717.89 lbs.,330 kg  727.53 lbs.,776 l  27.4 cu. ft.,2620 mm  103.15 in.,12 m  39.37 ft.,ABS (Anti-lock braking system),Hydraulic Steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC,Rein,Rein,2.0 (128 Hp),2007 year,2013 year,Internal Combustion engine,Off-road vehicle,5,5,Performance specs,,7.5 l/100 km  31.36 US mpg37.66 UK mpg13.33 km/l,Petrol (Gasoline),Euro 3,Engine specs,128 Hp @ 6000 rpm.,64.1 Hp/l,172 Nm @ 3000 rpm.  126.86 lb.-ft. @ 3000 rpm.,HFC4GA3-B,1997 cm3 121.86 cu. in.,4,4,Multi-point indirect injection,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",65 l  17.17 US gal | 14.3 UK gal,Dimensions,4500 mm  177.17 in.,1875 mm  73.82 in.,1730 mm  68.11 in.,1540 mm  60.63 in.,1540 mm  60.63 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,5,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer",Disc,Disc,225/70 R16,16,160 km/h  99.42 mph,"13.3 kg/Hp, 75.3 Hp/tonne","9.9 kg/Nm, 101.2 Nm/tonne",1700 kg  3747.86 lbs.,2100 kg  4629.71 lbs.,400 kg  881.85 lbs.,776 l  27.4 cu. ft.,2620 mm  103.15 in.,12 m  39.37 ft.,ABS (Anti-lock braking system),Hydraulic Steering,"Front, Transverse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguar,C-X16,C-X16,3.0 V6 (467 Hp) PHEV Automatic,2011 year,2011 year,PHEV (Plug-in Hybrid Electric Vehicle),Coupe,2,2,Performance specs,,,petrol / electricity,,,380 Hp,126.9 Hp/l,450 Nm  331.9 lb.-ft.,,2995 cm3 182.77 cu. in.,6,4,Direct injection,"Mechanical supercharging (Compressor), Intercooler",(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,Dimensions,4445 mm  175 in.,2048 mm  80.63 in.,1297 mm  51.06 in.,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) and electric motor drive the rear wheels of the car with the ability to work in full electric or mixed mode.,Rear wheel drive,,,,Ventilated discs,Ventilated discs,,,300 km/h  186.41 mph,"3.4 kg/Hp, 291.9 Hp/tonne","2.3 kg/Nm, 428.1 Nm/tonne",1600 kg  3527.4 lbs.,,,,2622 mm  103.23 in.,,ABS (Anti-lock braking system),,"Electric motor, integrated into transmission",6.9 l/100 km  34.09 US mpg40.94 UK mpg14.49 km/l,165 g/km,4.4 sec,4.4 sec,4.2 sec,Electric cars and hybrids specs,1.6 kWh,Electric motor 1,95 Hp,235 Nm  173.33 lb.-ft.,467 Hp,685 Nm  505.23 lb.-ft.,Internal combustion engine specs,V-engine,84.5 mm  3.33 in.,89 mm  3.5 in.,10.5,DOHC,Start & Stop System,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguar,E-Pace,E-Pace (facelift 2020),2.0i (300 Hp) MHEV AWD Automatic,"October, 2020 year",,"MHEV (Mild Hybrid Electric Vehicle, power-assist hybrid, battery-assisted hybrid vehicles, BAHV)",SUV,5,5,Performance specs,,,Petrol (Gasoline),Euro 6d,Engine specs,300 Hp @ 5500 rpm.,150.2 Hp/l,400 Nm @ 1500-4500 rpm.  295.02 lb.-ft. @ 1500-4500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Direct injection,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",67 l  17.7 US gal | 14.74 UK gal,Dimensions,4395 mm  173.03 in.,,1648 mm  64.88 in.,1625 mm  63.98 in.,1624 mm  63.94 in.,"Drivetrain, brakes and suspension specs","The Internal combustion engine (ICE) and the electric motor permanently drive the rear wheels of the vehicle, capable of running only in mixed mode, and if necessary through the electrically or mechanically controlled clutch, the front wheels are driven.",All wheel drive (4x4),,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer","Ventilated discs, 349 mm","Disc, 325 mm",,18,241 km/h  149.75 mph,"6.3 kg/Hp, 159.8 Hp/tonne","4.7 kg/Nm, 213.1 Nm/tonne",1877 kg  4138.08 lbs.,,,601 l  21.22 cu. ft.,2681 mm  105.55 in.,11.63 m  38.16 ft.,ABS (Anti-lock braking system),Electric Steering,"Front, Transverse",,,6.9 sec,6.9 sec,,,,,,,,,,Inline,83 mm  3.27 in.,92.29 mm  3.63 in.,10.5,,Start & Stop SystemParticulate filter,9,9-9.7 l/100 km  26.13 - 24.25 US mpg31.39 - 29.12 UK mpg11.11 - 10.31 km/l,204-218 g/km,6.6 sec,1386 l  48.95 cu. ft.,1800 kg  3968.32 lbs.,750 kg  1653.47 lbs.,1984 mm  78.11 in.,882 mm  34.72 in.,832 mm  32.76 in.,212 mm  8.35 in.,0.34,22°,28°,20.7°,500 mm  19.69 in.,Steering rack and pinion,,,,,,,,,,,,,,,,,,,,
Jaguar,E-Pace,E-Pace (facelift 2020),2.0i (249 Hp) MHEV AWD Automatic,"October, 2020 year",,"MHEV (Mild Hybrid Electric Vehicle, power-assist hybrid, battery-assisted hybrid vehicles, BAHV)",SUV,5,5,Performance specs,,,Petrol (Gasoline),Euro 6d,Engine specs,249 Hp @ 5500 rpm.,124.7 Hp/l,365 Nm @ 1300-4500 rpm.  269.21 lb.-ft. @ 1300-4500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Direct injection,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",67 l  17.7 US gal | 14.74 UK gal,Dimensions,4395 mm  173.03 in.,,1648 mm  64.88 in.,1625 mm  63.98 in.,1624 mm  63.94 in.,"Drivetrain, brakes and suspension specs","The Internal combustion engine (ICE) and the electric motor permanently drive the rear wheels of the vehicle, capable of running only in mixed mode, and if necessary through the electrically or mechanically controlled clutch, the front wheels are driven.",All wheel drive (4x4),,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer","Ventilated discs, 349 mm","Disc, 325 mm",,18,229 km/h  142.29 mph,"7.3 kg/Hp, 137.3 Hp/tonne","5 kg/Nm, 201.2 Nm/tonne",1814 kg  3999.19 lbs.,,,601 l  21.22 cu. ft.,2681 mm  105.55 in.,11.63 m  38.16 ft.,ABS (Anti-lock braking system),Electric Steering,"Front, Transverse",,,7.5 sec,7.5 sec,,,,,,,,,,Inline,83 mm  3.27 in.,92.29 mm  3.63 in.,10.5,,Start & Stop SystemParticulate filter,9,8.9-9.7 l/100 km  26.43 - 24.25 US mpg31.74 - 29.12 UK mpg11.24 - 10.31 km/l,200-218 g/km,7.0 sec,1386 l  48.95 cu. ft.,1800 kg  3968.32 lbs.,750 kg  1653.47 lbs.,1984 mm  78.11 in.,882 mm  34.72 in.,832 mm  32.76 in.,212 mm  8.35 in.,0.33,22°,28°,20.7°,500 mm  19.69 in.,Steering rack and pinion,,,,,,,,,,,,,,,,,,,,
Jaguar,E-Pace,E-Pace (facelift 2020),2.0i (200 Hp) MHEV AWD Automatic,"October, 2020 year",,"MHEV (Mild Hybrid Electric Vehicle, power-assist hybrid, battery-assisted hybrid vehicles, BAHV)",SUV,5,5,Performance specs,,,Petrol (Gasoline),Euro 6d,Engine specs,200 Hp @ 5500 rpm.,100.2 Hp/l,320 Nm @ 1200-4000 rpm.  236.02 lb.-ft. @ 1200-4000 rpm.,,1997 cm3 121.86 cu. in.,4,4,Direct injection,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",67 l  17.7 US gal | 14.74 UK gal,Dimensions,4395 mm  173.03 in.,,1648 mm  64.88 in.,1625 mm  63.98 in.,1624 mm  63.94 in.,"Drivetrain, brakes and suspension specs","The Internal combustion engine (ICE) and the electric motor permanently drive the rear wheels of the vehicle, capable of running only in mixed mode, and if necessary through the electrically or mechanically controlled clutch, the front wheels are driven.",All wheel drive (4x4),,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer","Ventilated discs, 325-349 mm","Disc, 300 mm",,17; 18,200 km/h  124.27 mph,"8.9 kg/Hp, 112.9 Hp/tonne","5.5 kg/Nm, 180.6 Nm/tonne",1772 kg  3906.59 lbs.,,,601 l  21.22 cu. ft.,2681 mm  105.55 in.,11.63 m  38.16 ft.,ABS (Anti-lock braking system),Electric Steering,"Front, Transverse",,,8.5 sec,8.5 sec,,,,,,,,,,Inline,83 mm  3.27 in.,92.29 mm  3.63 in.,10.5,,Start & Stop SystemParticulate filter,9,8.9-9.7 l/100 km  26.43 - 24.25 US mpg31.74 - 29.12 UK mpg11.24 - 10.31 km/l,200-218 g/km,8.0 sec,1386 l  48.95 cu. ft.,1800 kg  3968.32 lbs.,750 kg  1653.47 lbs.,1984 mm  78.11 in.,882 mm  34.72 in.,832 mm  32.76 in.,212 mm  8.35 in.,0.33,22°,28°,20.7°,500 mm  19.69 in.,Steering rack and pinion,,,,,,,,,,,,,,,,,,,,
Jaguar,E-Pace,E-Pace (facelift 2020),2.0d (204 Hp) MHEV AWD Automatic,"October, 2020 year",,"MHEV (Mild Hybrid Electric Vehicle, power-assist hybrid, battery-assisted hybrid vehicles, BAHV)",SUV,5,5,Performance specs,,,Diesel,Euro 6d,Engine specs,204 Hp @ 3750 rpm.,102.2 Hp/l,430 Nm @ 1750-2500 rpm.  317.15 lb.-ft. @ 1750-2500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Diesel Commonrail,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",65 l  17.17 US gal | 14.3 UK gal,Dimensions,4395 mm  173.03 in.,,1648 mm  64.88 in.,1625 mm  63.98 in.,1624 mm  63.94 in.,"Drivetrain, brakes and suspension specs","The Internal combustion engine (ICE) and the electric motor permanently drive the rear wheels of the vehicle, capable of running only in mixed mode, and if necessary through the electrically or mechanically controlled clutch, the front wheels are driven.",All wheel drive (4x4),,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer","Ventilated discs, 349 mm","Disc, 300 mm",,18,211 km/h  131.11 mph,"9.2 kg/Hp, 108.7 Hp/tonne","4.4 kg/Nm, 229.1 Nm/tonne",1877 kg  4138.08 lbs.,,,601 l  21.22 cu. ft.,2681 mm  105.55 in.,11.63 m  38.16 ft.,ABS (Anti-lock braking system),Electric Steering,"Front, Transverse",,,8.4 sec,8.4 sec,,,,,,,,,,Inline,83 mm  3.27 in.,92.31 mm  3.63 in.,16.5,,Start & Stop SystemParticulate filter,9,6.4-7 l/100 km  36.75 - 33.6 US mpg44.14 - 40.35 UK mpg15.63 - 14.29 km/l,169-185 g/km,7.9 sec,1386 l  48.95 cu. ft.,1800 kg  3968.32 lbs.,750 kg  1653.47 lbs.,1984 mm  78.11 in.,882 mm  34.72 in.,832 mm  32.76 in.,212 mm  8.35 in.,0.32,22°,28°,20.7°,500 mm  19.69 in.,Steering rack and pinion,17 l  4.49 US gal | 3.74 UK gal,,,,,,,,,,,,,,,,,,,
Jaguar,E-Pace,E-Pace (facelift 2020),2.0d (163 Hp) MHEV AWD Automatic,"October, 2020 year",,"MHEV (Mild Hybrid Electric Vehicle, power-assist hybrid, battery-assisted hybrid vehicles, BAHV)",SUV,5,5,Performance specs,,,Diesel,Euro 6d,Engine specs,163 Hp @ 3750 rpm.,81.6 Hp/l,380 Nm @ 1500-2500 rpm.  280.27 lb.-ft. @ 1500-2500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Diesel Commonrail,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",65 l  17.17 US gal | 14.3 UK gal,Dimensions,4395 mm  173.03 in.,,1648 mm  64.88 in.,1625 mm  63.98 in.,1624 mm  63.94 in.,"Drivetrain, brakes and suspension specs","The Internal combustion engine (ICE) and the electric motor permanently drive the rear wheels of the vehicle, capable of running only in mixed mode, and if necessary through the electrically or mechanically controlled clutch, the front wheels are driven.",All wheel drive (4x4),,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer","Ventilated discs, 325-349 mm","Disc, 300 mm",,17; 18,200 km/h  124.27 mph,"11.3 kg/Hp, 88.5 Hp/tonne","4.8 kg/Nm, 206.4 Nm/tonne",1841 kg  4058.71 lbs.,,,601 l  21.22 cu. ft.,2681 mm  105.55 in.,11.63 m  38.16 ft.,ABS (Anti-lock braking system),Electric Steering,"Front, Transverse",,,9.8 sec,9.8 sec,,,,,,,,,,Inline,83 mm  3.27 in.,92.31 mm  3.63 in.,16.5,,Start & Stop SystemParticulate filter,9,6.4-6.9 l/100 km  36.75 - 34.09 US mpg44.14 - 40.94 UK mpg15.63 - 14.49 km/l,167-182 g/km,9.2 sec,1386 l  48.95 cu. ft.,1800 kg  3968.32 lbs.,750 kg  1653.47 lbs.,1984 mm  78.11 in.,882 mm  34.72 in.,832 mm  32.76 in.,212 mm  8.35 in.,0.32,22°,28°,20.7°,500 mm  19.69 in.,Steering rack and pinion,17 l  4.49 US gal | 3.74 UK gal,,,,,,,,,,,,,,,,,,,
Jaguar,E-Pace,E-Pace (facelift 2020),2.0d (163 Hp),"October, 2020 year",,Internal Combustion engine,SUV,5,5,Performance specs,,,Diesel,Euro 6d,Engine specs,163 Hp @ 3750 rpm.,81.6 Hp/l,380 Nm @ 1500-2500 rpm.  280.27 lb.-ft. @ 1500-2500 rpm.,,1997 cm3 121.86 cu. in.,4,4,Diesel Commonrail,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",65 l  17.17 US gal | 14.3 UK gal,Dimensions,4395 mm  173.03 in.,,1648 mm  64.88 in.,1625 mm  63.98 in.,1624 mm  63.94 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the front wheels of the vehicle.,Front wheel drive,6,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer","Ventilated discs, 325-349 mm","Disc, 300 mm",,17; 18,206 km/h  128 mph,"10.6 kg/Hp, 94 Hp/tonne","4.6 kg/Nm, 219.1 Nm/tonne",1734 kg  3822.82 lbs.,,,601 l  21.22 cu. ft.,2681 mm  105.55 in.,11.63 m  38.16 ft.,ABS (Anti-lock braking system),Electric Steering,"Front, Transverse",,,10.0 sec,10.0 sec,,,,,,,,,,Inline,83 mm  3.27 in.,92.31 mm  3.63 in.,16.5,,Start & Stop SystemParticulate filter,,6.0-6.8 l/100 km  39.2 - 34.59 US mpg47.08 - 41.54 UK mpg16.67 - 14.71 km/l,158-179 g/km,9.5 sec,1386 l  48.95 cu. ft.,1600 kg  3527.4 lbs.,750 kg  1653.47 lbs.,1984 mm  78.11 in.,882 mm  34.72 in.,832 mm  32.76 in.,212 mm  8.35 in.,0.32,22°,28°,20.7°,500 mm  19.69 in.,Steering rack and pinion,17 l  4.49 US gal | 3.74 UK gal,,,,,,,,,,,,,,,,,,,
