Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel Type,Maximum speed,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine displacement,Number of cylinders,Position of cylinders,Engine aspiration,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Fuel tank capacity,Dimensions,Length,Width,Height,Wheelbase,Front track,Rear (Back) track,Ride height (ground clearance),Approach angle,Departure angle,Ramp angle,"Drivetrain, brakes and suspension specs",Drive wheel,Number of Gears (automatic transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Assisting systems,Steering type,Power steering,Wheel rims size,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Electric motor 1,Engine location,Electric motor 2,System power,System torque,Internal combustion engine specs,Fuel System,Max. weight,Max load,Trunk (boot) space - minimum,Width including mirrors,Drag coefficient (Cd),Tires size,Electric motor power,Electric motor Torque,Minimum turning circle (turning diameter),End of production,Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - combined,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Cylinder Bore,Piston Stroke,Compression ratio,Number of valves per cylinder,Valvetrain,Drivetrain Architecture,Number of Gears (manual transmission),Trunk (boot) space - maximum,Emission standard,Engine systems,CO2 emissions,Engine Model/Code,Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),CO2 emissions (NEDC),Max. roof load,Permitted trailer load with brakes (12%),Permitted trailer load without brakes,Permitted towbar download,Front overhang,Rear overhang,Combined fuel consumption (WLTP),CO2 emissions (WLTP),"Fuel consumption (economy) - urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","CO2 emissions (NEDC, WLTP equivalent)",Engine oil capacity,Oil viscosity,AdBlue tank,Battery voltage,Battery technology,All-electric range (WLTP),"All-electric range (NEDC, WLTP equivalent)",Average Energy consumption (WLTP),"Average Energy consumption (NEDC, WLTP equivalent)",Max speed (electric),Coolant,Acceleration 0 - 60 mph,Engine oil specification,Net (usable) battery capacity,Average Energy consumption,100 km/h - 0,Fuel consumption (economy) - urban (LPG),Fuel consumption (economy) - extra urban (LPG),Fuel consumption (economy) - combined (LPG),CO2 emissions (LPG),Maximum speed (LPG),Fuel tank capacity (LPG),Fuel consumption at Low speed (WLTP),Fuel consumption at Medium speed (WLTP),Fuel consumption at high speed (WLTP),Fuel consumption at very high speed (WLTP),Acceleration 0 - 200 km/h,Maximum engine speed,Electric motor 3,Power (Ethanol - E85),Acceleration 0 - 300 km/h
Karlmann King,Stealth,Staelth,6.8 V10 (367 Hp) 4x4 Automatic,2018 year,Internal Combustion engine,SUV,4-7,5,Performance specs,Petrol (Gasoline),140 km/h  86.99 mph,"12.3 kg/Hp, 81.6 Hp/tonne","7.3 kg/Nm, 137.8 Nm/tonne",Engine specs,367 Hp,54 Hp/l,620 Nm  457.29 lb.-ft.,6800 cm3 414.96 cu. in.,10,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",4500-6000 kg  9920.8 - 13227.74 lbs.,152 l  40.15 US gal | 33.44 UK gal,Dimensions,5990 mm  235.83 in.,2480 mm  97.64 in.,2480 mm  97.64 in.,3691 mm  145.31 in.,2110 mm  83.07 in.,2110 mm  83.07 in.,300 mm  11.81 in.,30°,30°,30°,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),6,Wishbone,Wishbone,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma,Revero,Revero,GT 1.5/28 kWh (536 Hp) PHEV Automatic,2020 year,PHEV (Plug-in Hybrid Electric Vehicle),Sedan,4,4,Performance specs,petrol / electricity,201 km/h  124.9 mph,"4.3 kg/Hp, 233.4 Hp/tonne","3.1 kg/Nm, 324.9 Nm/tonne",,228 Hp,152.1 Hp/l,320 Nm  236.02 lb.-ft.,1499 cm3 91.47 cu. in.,3,Inline,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2296 kg  5061.81 lbs.,39 l  10.3 US gal | 8.58 UK gal,Dimensions,5065 mm  199.41 in.,,1332 mm  52.44 in.,3160 mm  124.41 in.,,,138 mm  5.43 in.,,,,"Drivetrain, brakes and suspension specs",Rear wheel drive,,Wishbone,Wishbone,Ventilated discs,Ventilated discs,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,Front wheel rims: 21Rear wheel rims: 245/40 21,Electric cars and hybrids specs,28 kWh,129 km  80.16 mi,Electric motor 1,"Rear axle, Transverse",Electric motor 2,536 Hp,746 Nm  550.22 lb.-ft.,Internal combustion engine specs,Direct injection,2688 kg  5926.03 lbs.,392 kg  864.21 lbs.,182 l  6.43 cu. ft.,2161 mm  85.08 in.,0.35,Front wheel tires: R21Rear wheel tires: 265/40 R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma,Revero,Revero,2.0 (235 Hp) Plug-In Hybrid,"September, 2016 year",PHEV (Plug-in Hybrid Electric Vehicle),Sedan,4,4,Performance specs,petrol / electricity,201 km/h  124.9 mph,"10.4 kg/Hp, 96 Hp/tonne",,,,,,,4,,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",2449 kg  5399.12 lbs.,36 l  9.51 US gal | 7.92 UK gal,Dimensions,4998 mm  196.77 in.,,1337 mm  52.64 in.,3160 mm  124.41 in.,,,,,,,"Drivetrain, brakes and suspension specs",Rear wheel drive,,"Independent, Spring McPherson, with stabilizer",,,,,Steering rack and pinion,Electric Steering,21; 22,Electric cars and hybrids specs,20.8 kWh,50 km  31.07 mi,Electric motor 1,,,235 Hp,,Internal combustion engine specs,,2767 kg  6100.19 lbs.,318 kg  701.07 lbs.,195 l  6.89 cu. ft.,2136 mm  84.09 in.,0.38,255/40 R21; 255/35 R22; 265/40 R21; 285/35 R22,403 Hp,1330 Nm  980.96 lb.-ft.,12.3 m  40.35 ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Avella,Avella Delta,1.5 i 16V (105 Hp),"March, 1994 year",Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),183 km/h  113.71 mph,"8.9 kg/Hp, 112.9 Hp/tonne","6.3 kg/Nm, 158.1 Nm/tonne",Engine specs,105 Hp @ 5500 rpm.,70.1 Hp/l,147 Nm @ 4000 rpm.  108.42 lb.-ft. @ 4000 rpm.,1498 cm3 91.41 cu. in.,4,Inline,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",930 kg  2050.3 lbs.,43 l  11.36 US gal | 9.46 UK gal,Dimensions,4165 mm  163.98 in.,1665 mm  65.55 in.,1450 mm  57.09 in.,2390 mm  94.09 in.,1420 mm  55.91 in.,1400 mm  55.12 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Transverse stabilizer,Torsion,Disc,Drum,ABS (Anti-lock braking system),Steering rack and pinion,,,,,,,"Front, Transverse",,,,,Multi-point indirect injection,,,,,,165/70 R13,,,,2000 year,8.5 l/100 km  27.67 US mpg33.23 UK mpg11.76 km/l,5.5 l/100 km  42.77 US mpg51.36 UK mpg18.18 km/l,7 l/100 km  33.6 US mpg40.35 UK mpg14.29 km/l,12.3 sec,12.3 sec,11.7 sec,78 mm  3.07 in.,78.4 mm  3.09 in.,9.3,4,DOHC,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Avella,Avella,1.3 i 16V (76 Hp),"March, 1994 year",Internal Combustion engine,Hatchback,5,5,Performance specs,Petrol (Gasoline),160 km/h  99.42 mph,"10.5 kg/Hp, 95.6 Hp/tonne","8 kg/Nm, 125.8 Nm/tonne",Engine specs,76 Hp @ 6500 rpm.,57.4 Hp/l,100 Nm @ 6500 rpm.  73.76 lb.-ft. @ 6500 rpm.,1324 cm3 80.8 cu. in.,4,Inline,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",795 kg  1752.67 lbs.,38 l  10.04 US gal | 8.36 UK gal,Dimensions,3565 mm  140.35 in.,1605 mm  63.19 in.,1460 mm  57.48 in.,2295 mm  90.35 in.,1401 mm  55.16 in.,1385 mm  54.53 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,,Transverse stabilizer,Torsion,Disc,Drum,ABS (Anti-lock braking system),Steering rack and pinion,,,,,,,"Front, Transverse",,,,,Multi-point indirect injection,1270 kg  2799.87 lbs.,475 kg  1047.2 lbs.,205 l  7.24 cu. ft.,,,145 R13,,,,2000 year,,,,,,,71 mm  2.8 in.,83.6 mm  3.29 in.,9.7,4,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,5,510 l  18.01 cu. ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Borrego (Mohave),Borrego (Mohave),4.6 i V8 (340 Hp),2008 year,Internal Combustion engine,Off-road vehicle,5,5,Performance specs,Petrol (Gasoline),,,,Engine specs,340 Hp @ 6000 rpm.,73.9 Hp/l,444 Nm @ 3500 rpm.  327.48 lb.-ft. @ 3500 rpm.,4600 cm3 280.71 cu. in.,8,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,82 l  21.66 US gal | 18.04 UK gal,Dimensions,4880 mm  192.13 in.,1915 mm  75.39 in.,1810 mm  71.26 in.,2895 mm  113.98 in.,1630 mm  64.17 in.,1640 mm  64.57 in.,,,,,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),6,,,Disc,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,,,,,,"Front, Transverse",,,,,Multi-point indirect injection,,,,,,,,,,2010 year,,,,,,,,,10.4,4,DOHC,,,,Euro 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Borrego (Mohave),Borrego (Mohave),3.8i V6 (274 Hp),2008 year,Internal Combustion engine,Off-road vehicle,5,5,Performance specs,Petrol (Gasoline),,,,Engine specs,274 Hp @ 6000 rpm.,72.5 Hp/l,369 Nm @ 4500 rpm.  272.16 lb.-ft. @ 4500 rpm.,3778 cm3 230.55 cu. in.,6,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,,,,Dimensions,4935 mm  194.29 in.,1915 mm  75.39 in.,1810 mm  71.26 in.,2895 mm  113.98 in.,1630 mm  64.17 in.,1640 mm  64.57 in.,,,,,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),6,,,Disc,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,,,,,,"Front, Transverse",,,,,Multi-point indirect injection,,,,,,,,,,2016 year,,,,,,,96 mm  3.78 in.,87 mm  3.43 in.,10.4,4,,,,,Euro 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Borrego (Mohave),Borrego (Mohave),3.0 CRDi (250 Hp),2008 year,Internal Combustion engine,Off-road vehicle,5,5,Performance specs,Diesel,,,,Engine specs,250 Hp @ 3800 rpm.,86.1 Hp/l,550 Nm @ 2000 rpm.  405.66 lb.-ft. @ 2000 rpm.,2903 cm3 177.15 cu. in.,6,V-engine,Turbocharger,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",,82 l  21.66 US gal | 18.04 UK gal,Dimensions,4880 mm  192.13 in.,1915 mm  75.39 in.,1810 mm  71.26 in.,2895 mm  113.98 in.,1630 mm  64.17 in.,1640 mm  64.57 in.,,,,,"Drivetrain, brakes and suspension specs",All wheel drive (4x4),6,,,Disc,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Hydraulic Steering,,,,,,"Front, Longitudinal",,,,,Diesel Commonrail,,,,,,,,,,2016 year,,,10.8 l/100 km  21.78 US mpg26.16 UK mpg9.26 km/l,,,,,,,4,DOHC,,,,Euro 5,Particulate filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Cadenza,Cadenza II,3.3 GDI V6 (294 Hp) Sportmatic,2016 year,Internal Combustion engine,Sedan,4-5,4,Performance specs,Petrol (Gasoline),,"5.6 kg/Hp, 178.4 Hp/tonne","4.8 kg/Nm, 208.1 Nm/tonne",Engine specs,294 Hp @ 6400 rpm.,88 Hp/l,343 Nm @ 5200 rpm.  252.98 lb.-ft. @ 5200 rpm.,3342 cm3 203.94 cu. in.,6,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1648 kg  3633.22 lbs.,70.1 l  18.52 US gal | 15.42 UK gal,Dimensions,4971 mm  195.71 in.,1869 mm  73.58 in.,1471 mm  57.91 in.,2855 mm  112.4 in.,1608 mm  63.31 in.,1603 mm  63.11 in.,,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,8,"Independent, Spring McPherson, with stabilizer",Multi-link independent,Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,Electric Steering,7.5 x 18,,,,,"Rear, Transverse",,,,,Direct injection,,,453 l  16 cu. ft.,,,245/45 R18,,,11.33 m  37.17 ft.,,11.7 l/100 km  20.1 US mpg24.14 UK mpg8.55 km/l,8.4 l/100 km  28 US mpg33.63 UK mpg11.9 km/l,,,,,92 mm  3.62 in.,83.8 mm  3.3 in.,12,4,DOHC,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,Cadenza,Cadenza I (facelift 2013),3.3 GDI V6 (297 Hp) Sportmatic,2013 year,Internal Combustion engine,Sedan,5,4,Performance specs,Petrol (Gasoline),,"5.8 kg/Hp, 173 Hp/tonne","5 kg/Nm, 201.5 Nm/tonne",Engine specs,297 Hp @ 6800 rpm.,88.9 Hp/l,346 Nm @ 5200 rpm.  255.2 lb.-ft. @ 5200 rpm.,3342 cm3 203.94 cu. in.,6,V-engine,Naturally aspirated engine,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1717 kg  3785.34 lbs.,70 l  18.49 US gal | 15.4 UK gal,Dimensions,4965 mm  195.47 in.,1850 mm  72.83 in.,1475 mm  58.07 in.,2845 mm  112.01 in.,1600 mm  62.99 in.,1600 mm  62.99 in.,137 mm  5.39 in.,,,,"Drivetrain, brakes and suspension specs",Front wheel drive,6,"Independent, Spring McPherson, with stabilizer","Independent, spring multi-link with stabilizer",Ventilated discs,Disc,ABS (Anti-lock braking system),Steering rack and pinion,,19,,,,,"Middle, Transverse",,,,,Direct injection,,,450 l  15.89 cu. ft.,,0.29,245/40 R19,,,11.12 m  36.48 ft.,2016 year,,,,,,,92 mm  3.62 in.,83.8 mm  3.3 in.,12,4,,The Internal combustion engine (ICE) drives the front wheels of the vehicle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
