,brands_url,models,models_url,generations,generations_url,modifications,modifications_url
0,https://www.auto-data.net/en/abarth-brand-200,abarth-124-spider-model-2152,https://www.auto-data.net/en/abarth-124-spider-model-2152,abarth-124-gt-generation-6774,https://www.auto-data.net/en/abarth-124-gt-generation-6774,abarth-124-gt-1.4-multiair-170hp-automatic-35172,https://www.auto-data.net/en/abarth-124-gt-1.4-multiair-170hp-automatic-35172
0,https://www.auto-data.net/en/abarth-brand-200,abarth-124-spider-model-2152,https://www.auto-data.net/en/abarth-124-spider-model-2152,abarth-124-gt-generation-6774,https://www.auto-data.net/en/abarth-124-gt-generation-6774,abarth-124-gt-1.4-multiair-170hp-35171,https://www.auto-data.net/en/abarth-124-gt-1.4-multiair-170hp-35171
0,https://www.auto-data.net/en/abarth-brand-200,abarth-124-spider-model-2152,https://www.auto-data.net/en/abarth-124-spider-model-2152,abarth-124-spider-generation-5004,https://www.auto-data.net/en/abarth-124-spider-generation-5004,abarth-124-spider-1.4-multiair-170hp-automatic-24535,https://www.auto-data.net/en/abarth-124-spider-1.4-multiair-170hp-automatic-24535
0,https://www.auto-data.net/en/abarth-brand-200,abarth-124-spider-model-2152,https://www.auto-data.net/en/abarth-124-spider-model-2152,abarth-124-spider-generation-5004,https://www.auto-data.net/en/abarth-124-spider-generation-5004,abarth-124-spider-1.4-multiair-170hp-25192,https://www.auto-data.net/en/abarth-124-spider-1.4-multiair-170hp-25192
0,https://www.auto-data.net/en/abarth-brand-200,abarth-500-model-2872,https://www.auto-data.net/en/abarth-500-model-2872,abarth-500c-generation-8152,https://www.auto-data.net/en/abarth-500c-generation-8152,abarth-500c-1.4-t-jet-140hp-mta-42379,https://www.auto-data.net/en/abarth-500c-1.4-t-jet-140hp-mta-42379
0,https://www.auto-data.net/en/abarth-brand-200,abarth-500-model-2872,https://www.auto-data.net/en/abarth-500-model-2872,abarth-500c-generation-8152,https://www.auto-data.net/en/abarth-500c-generation-8152,abarth-500c-1.4-t-jet-135hp-42380,https://www.auto-data.net/en/abarth-500c-1.4-t-jet-135hp-42380
0,https://www.auto-data.net/en/abarth-brand-200,abarth-500-model-2872,https://www.auto-data.net/en/abarth-500-model-2872,abarth-500-generation-8149,https://www.auto-data.net/en/abarth-500-generation-8149,abarth-500-1.4-t-jet-140hp-mta-42424,https://www.auto-data.net/en/abarth-500-1.4-t-jet-140hp-mta-42424
0,https://www.auto-data.net/en/abarth-brand-200,abarth-500-model-2872,https://www.auto-data.net/en/abarth-500-model-2872,abarth-500-generation-8149,https://www.auto-data.net/en/abarth-500-generation-8149,abarth-500-1.4-t-jet-140hp-mta-42426,https://www.auto-data.net/en/abarth-500-1.4-t-jet-140hp-mta-42426
0,https://www.auto-data.net/en/abarth-brand-200,abarth-500-model-2872,https://www.auto-data.net/en/abarth-500-model-2872,abarth-500-generation-8149,https://www.auto-data.net/en/abarth-500-generation-8149,abarth-500-1.4-t-jet-135hp-42425,https://www.auto-data.net/en/abarth-500-1.4-t-jet-135hp-42425
0,https://www.auto-data.net/en/abarth-brand-200,abarth-500-model-2872,https://www.auto-data.net/en/abarth-500-model-2872,abarth-500-generation-8149,https://www.auto-data.net/en/abarth-500-generation-8149,abarth-500-1.4-t-jet-135hp-42423,https://www.auto-data.net/en/abarth-500-1.4-t-jet-135hp-42423
