,brands_url,models,models_url,generations,generations_url,modifications,modifications_url
90,https://www.auto-data.net/en/faw-brand-57,faw-a6-model-639,https://www.auto-data.net/en/faw-a6-model-639,faw-a6-generation-1340,https://www.auto-data.net/en/faw-a6-generation-1340,faw-a6-2.8-i-v6-30v-193hp-5855,https://www.auto-data.net/en/faw-a6-2.8-i-v6-30v-193hp-5855
90,https://www.auto-data.net/en/faw-brand-57,faw-a6-model-639,https://www.auto-data.net/en/faw-a6-model-639,faw-a6-generation-1340,https://www.auto-data.net/en/faw-a6-generation-1340,faw-a6-1.8-i-20v-t-150hp-5854,https://www.auto-data.net/en/faw-a6-1.8-i-20v-t-150hp-5854
90,https://www.auto-data.net/en/faw-brand-57,faw-a6-model-639,https://www.auto-data.net/en/faw-a6-model-639,faw-a6-generation-1340,https://www.auto-data.net/en/faw-a6-generation-1340,faw-a6-1.8-i-20v-125hp-5853,https://www.auto-data.net/en/faw-a6-1.8-i-20v-125hp-5853
90,https://www.auto-data.net/en/faw-brand-57,faw-admiral-model-644,https://www.auto-data.net/en/faw-admiral-model-644,faw-admiral-generation-1345,https://www.auto-data.net/en/faw-admiral-generation-1345,faw-admiral-2.2-103hp-5867,https://www.auto-data.net/en/faw-admiral-2.2-103hp-5867
90,https://www.auto-data.net/en/faw-brand-57,faw-audi-100-model-640,https://www.auto-data.net/en/faw-audi-100-model-640,faw-audi-100-generation-1341,https://www.auto-data.net/en/faw-audi-100-generation-1341,faw-audi-100-2.6-i-v6-150hp-5858,https://www.auto-data.net/en/faw-audi-100-2.6-i-v6-150hp-5858
90,https://www.auto-data.net/en/faw-brand-57,faw-audi-100-model-640,https://www.auto-data.net/en/faw-audi-100-model-640,faw-audi-100-generation-1341,https://www.auto-data.net/en/faw-audi-100-generation-1341,faw-audi-100-2.2-i-20v-130hp-5857,https://www.auto-data.net/en/faw-audi-100-2.2-i-20v-130hp-5857
90,https://www.auto-data.net/en/faw-brand-57,faw-audi-100-model-640,https://www.auto-data.net/en/faw-audi-100-model-640,faw-audi-100-generation-1341,https://www.auto-data.net/en/faw-audi-100-generation-1341,faw-audi-100-2.0-115hp-5856,https://www.auto-data.net/en/faw-audi-100-2.0-115hp-5856
90,https://www.auto-data.net/en/faw-brand-57,faw-besturn-b30-model-2562,https://www.auto-data.net/en/faw-besturn-b30-model-2562,faw-besturn-b30-generation-6712,https://www.auto-data.net/en/faw-besturn-b30-generation-6712,faw-besturn-b30-1.6-109hp-automatic-34985,https://www.auto-data.net/en/faw-besturn-b30-1.6-109hp-automatic-34985
90,https://www.auto-data.net/en/faw-brand-57,faw-besturn-b30-model-2562,https://www.auto-data.net/en/faw-besturn-b30-model-2562,faw-besturn-b30-generation-6712,https://www.auto-data.net/en/faw-besturn-b30-generation-6712,faw-besturn-b30-1.6-109hp-34984,https://www.auto-data.net/en/faw-besturn-b30-1.6-109hp-34984
90,https://www.auto-data.net/en/faw-brand-57,faw-besturn-b50-model-2563,https://www.auto-data.net/en/faw-besturn-b50-model-2563,faw-besturn-b50-ii-generation-6713,https://www.auto-data.net/en/faw-besturn-b50-ii-generation-6713,faw-besturn-b50-ii-1.6-109hp-34986,https://www.auto-data.net/en/faw-besturn-b50-ii-1.6-109hp-34986
90,https://www.auto-data.net/en/faw-brand-57,faw-besturn-b50-model-2563,https://www.auto-data.net/en/faw-besturn-b50-model-2563,faw-besturn-b50-ii-generation-6713,https://www.auto-data.net/en/faw-besturn-b50-ii-generation-6713,faw-besturn-b50-ii-1.4-turbo-136hp-automatic-34987,https://www.auto-data.net/en/faw-besturn-b50-ii-1.4-turbo-136hp-automatic-34987
90,https://www.auto-data.net/en/faw-brand-57,faw-besturn-b50-model-2563,https://www.auto-data.net/en/faw-besturn-b50-model-2563,faw-besturn-b50-i-facelift-2013-generation-6717,https://www.auto-data.net/en/faw-besturn-b50-i-facelift-2013-generation-6717,faw-besturn-b50-i-facelift-2013-1.8-139hp-automatic-35126,https://www.auto-data.net/en/faw-besturn-b50-i-facelift-2013-1.8-139hp-automatic-35126
