,brands_url,models,models_url,generations,generations_url,modifications,modifications_url
145,https://www.auto-data.net/en/lada-brand-140,lada-1111-oka-model-1402,https://www.auto-data.net/en/lada-1111-oka-model-1402,lada-1111-oka-generation-2793,https://www.auto-data.net/en/lada-1111-oka-generation-2793,lada-1111-oka-0.65-29hp-13224,https://www.auto-data.net/en/lada-1111-oka-0.65-29hp-13224
145,https://www.auto-data.net/en/lada-brand-140,lada-2101-model-1407,https://www.auto-data.net/en/lada-2101-model-1407,lada-21013-generation-2805,https://www.auto-data.net/en/lada-21013-generation-2805,lada-21013-1.2-64hp-13238,https://www.auto-data.net/en/lada-21013-1.2-64hp-13238
145,https://www.auto-data.net/en/lada-brand-140,lada-2101-model-1407,https://www.auto-data.net/en/lada-2101-model-1407,lada-21011-generation-2806,https://www.auto-data.net/en/lada-21011-generation-2806,lada-21011-1.3-70hp-13239,https://www.auto-data.net/en/lada-21011-1.3-70hp-13239
145,https://www.auto-data.net/en/lada-brand-140,lada-2101-model-1407,https://www.auto-data.net/en/lada-2101-model-1407,lada-21012-generation-2807,https://www.auto-data.net/en/lada-21012-generation-2807,lada-21012-lada-1200-64hp-13240,https://www.auto-data.net/en/lada-21012-lada-1200-64hp-13240
145,https://www.auto-data.net/en/lada-brand-140,lada-2101-model-1407,https://www.auto-data.net/en/lada-2101-model-1407,lada-21012-generation-2807,https://www.auto-data.net/en/lada-21012-generation-2807,lada-21012-1.2-64hp-13241,https://www.auto-data.net/en/lada-21012-1.2-64hp-13241
145,https://www.auto-data.net/en/lada-brand-140,lada-2101-model-1407,https://www.auto-data.net/en/lada-2101-model-1407,lada-2101-generation-2808,https://www.auto-data.net/en/lada-2101-generation-2808,lada-2101-1.2-62hp-13242,https://www.auto-data.net/en/lada-2101-1.2-62hp-13242
145,https://www.auto-data.net/en/lada-brand-140,lada-2102-model-1412,https://www.auto-data.net/en/lada-2102-model-1412,lada-2102-generation-2820,https://www.auto-data.net/en/lada-2102-generation-2820,lada-2102-1.2-64hp-13256,https://www.auto-data.net/en/lada-2102-1.2-64hp-13256
145,https://www.auto-data.net/en/lada-brand-140,lada-2102-model-1412,https://www.auto-data.net/en/lada-2102-model-1412,lada-21023-generation-2821,https://www.auto-data.net/en/lada-21023-generation-2821,lada-21023-1.3-70hp-13257,https://www.auto-data.net/en/lada-21023-1.3-70hp-13257
145,https://www.auto-data.net/en/lada-brand-140,lada-2102-model-1412,https://www.auto-data.net/en/lada-2102-model-1412,lada-21021-generation-2822,https://www.auto-data.net/en/lada-21021-generation-2822,lada-21021-1.3-70hp-13258,https://www.auto-data.net/en/lada-21021-1.3-70hp-13258
145,https://www.auto-data.net/en/lada-brand-140,lada-2103-model-1417,https://www.auto-data.net/en/lada-2103-model-1417,lada-21033-generation-2828,https://www.auto-data.net/en/lada-21033-generation-2828,lada-21033-1.3-70hp-13265,https://www.auto-data.net/en/lada-21033-1.3-70hp-13265
145,https://www.auto-data.net/en/lada-brand-140,lada-2103-model-1417,https://www.auto-data.net/en/lada-2103-model-1417,lada-2103-generation-2829,https://www.auto-data.net/en/lada-2103-generation-2829,lada-2103-1.5-73hp-13266,https://www.auto-data.net/en/lada-2103-1.5-73hp-13266
145,https://www.auto-data.net/en/lada-brand-140,lada-2103-model-1417,https://www.auto-data.net/en/lada-2103-model-1417,lada-21035-generation-2830,https://www.auto-data.net/en/lada-21035-generation-2830,lada-21035-1.2-64hp-13267,https://www.auto-data.net/en/lada-21035-1.2-64hp-13267
145,https://www.auto-data.net/en/lada-brand-140,lada-2104-model-1422,https://www.auto-data.net/en/lada-2104-model-1422,lada-21041-generation-2838,https://www.auto-data.net/en/lada-21041-generation-2838,lada-21041-1.6-74hp-13278,https://www.auto-data.net/en/lada-21041-1.6-74hp-13278
145,https://www.auto-data.net/en/lada-brand-140,lada-2104-model-1422,https://www.auto-data.net/en/lada-2104-model-1422,lada-21041-generation-2838,https://www.auto-data.net/en/lada-21041-generation-2838,lada-21041-1.2-58hp-13277,https://www.auto-data.net/en/lada-21041-1.2-58hp-13277
145,https://www.auto-data.net/en/lada-brand-140,lada-2104-model-1422,https://www.auto-data.net/en/lada-2104-model-1422,lada-21045-generation-2839,https://www.auto-data.net/en/lada-21045-generation-2839,lada-21045-1.5-d-53hp-13279,https://www.auto-data.net/en/lada-21045-1.5-d-53hp-13279
145,https://www.auto-data.net/en/lada-brand-140,lada-2104-model-1422,https://www.auto-data.net/en/lada-2104-model-1422,lada-21047-generation-2840,https://www.auto-data.net/en/lada-21047-generation-2840,lada-21047-1.5-71hp-13280,https://www.auto-data.net/en/lada-21047-1.5-71hp-13280
145,https://www.auto-data.net/en/lada-brand-140,lada-2104-model-1422,https://www.auto-data.net/en/lada-2104-model-1422,lada-21044-generation-2841,https://www.auto-data.net/en/lada-21044-generation-2841,lada-21044-1.7-79hp-13281,https://www.auto-data.net/en/lada-21044-1.7-79hp-13281
