,brands_url,models,models_url,generations,generations_url,modifications,modifications_url
189,https://www.auto-data.net/en/o.s.c.a.-brand-24,o.s.c.a.-2500-gt-model-302,https://www.auto-data.net/en/o.s.c.a.-2500-gt-model-302,o.s.c.a.-2500-gt-generation-637,https://www.auto-data.net/en/o.s.c.a.-2500-gt-generation-637,o.s.c.a.-2500-gt-2.5-i-16v-190hp-2784,https://www.auto-data.net/en/o.s.c.a.-2500-gt-2.5-i-16v-190hp-2784
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-achieva-model-204,https://www.auto-data.net/en/oldsmobile-achieva-model-204,oldsmobile-achieva-generation-408,https://www.auto-data.net/en/oldsmobile-achieva-generation-408,oldsmobile-achieva-2.3-i-117hp-automatic-28513,https://www.auto-data.net/en/oldsmobile-achieva-2.3-i-117hp-automatic-28513
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-achieva-model-204,https://www.auto-data.net/en/oldsmobile-achieva-model-204,oldsmobile-achieva-generation-408,https://www.auto-data.net/en/oldsmobile-achieva-generation-408,oldsmobile-achieva-2.3-i-117hp-1573,https://www.auto-data.net/en/oldsmobile-achieva-2.3-i-117hp-1573
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-achieva-model-204,https://www.auto-data.net/en/oldsmobile-achieva-model-204,oldsmobile-achieva-generation-408,https://www.auto-data.net/en/oldsmobile-achieva-generation-408,oldsmobile-achieva-2.3-16v-150hp-1572,https://www.auto-data.net/en/oldsmobile-achieva-2.3-16v-150hp-1572
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-achieva-model-204,https://www.auto-data.net/en/oldsmobile-achieva-model-204,oldsmobile-achieva-coupe-generation-409,https://www.auto-data.net/en/oldsmobile-achieva-coupe-generation-409,oldsmobile-achieva-coupe-2.3-i-117hp-automatic-28515,https://www.auto-data.net/en/oldsmobile-achieva-coupe-2.3-i-117hp-automatic-28515
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-achieva-model-204,https://www.auto-data.net/en/oldsmobile-achieva-model-204,oldsmobile-achieva-coupe-generation-409,https://www.auto-data.net/en/oldsmobile-achieva-coupe-generation-409,oldsmobile-achieva-coupe-2.3-i-117hp-1575,https://www.auto-data.net/en/oldsmobile-achieva-coupe-2.3-i-117hp-1575
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-achieva-model-204,https://www.auto-data.net/en/oldsmobile-achieva-model-204,oldsmobile-achieva-coupe-generation-409,https://www.auto-data.net/en/oldsmobile-achieva-coupe-generation-409,oldsmobile-achieva-coupe-2.3-16v-150hp-1574,https://www.auto-data.net/en/oldsmobile-achieva-coupe-2.3-16v-150hp-1574
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-alero-model-209,https://www.auto-data.net/en/oldsmobile-alero-model-209,oldsmobile-alero-generation-422,https://www.auto-data.net/en/oldsmobile-alero-generation-422,oldsmobile-alero-3.4-v6-24v-173hp-1610,https://www.auto-data.net/en/oldsmobile-alero-3.4-v6-24v-173hp-1610
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-alero-model-209,https://www.auto-data.net/en/oldsmobile-alero-model-209,oldsmobile-alero-generation-422,https://www.auto-data.net/en/oldsmobile-alero-generation-422,oldsmobile-alero-2.4-16-152hp-1609,https://www.auto-data.net/en/oldsmobile-alero-2.4-16-152hp-1609
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-alero-model-209,https://www.auto-data.net/en/oldsmobile-alero-model-209,oldsmobile-alero-generation-422,https://www.auto-data.net/en/oldsmobile-alero-generation-422,oldsmobile-alero-2.2-16v-141hp-automatic-28516,https://www.auto-data.net/en/oldsmobile-alero-2.2-16v-141hp-automatic-28516
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-alero-model-209,https://www.auto-data.net/en/oldsmobile-alero-model-209,oldsmobile-alero-generation-422,https://www.auto-data.net/en/oldsmobile-alero-generation-422,oldsmobile-alero-2.2-16v-141hp-1608,https://www.auto-data.net/en/oldsmobile-alero-2.2-16v-141hp-1608
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-alero-model-209,https://www.auto-data.net/en/oldsmobile-alero-model-209,oldsmobile-alero-coupe-generation-423,https://www.auto-data.net/en/oldsmobile-alero-coupe-generation-423,oldsmobile-alero-coupe-3.4-v6-24v-173hp-1613,https://www.auto-data.net/en/oldsmobile-alero-coupe-3.4-v6-24v-173hp-1613
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-alero-model-209,https://www.auto-data.net/en/oldsmobile-alero-model-209,oldsmobile-alero-coupe-generation-423,https://www.auto-data.net/en/oldsmobile-alero-coupe-generation-423,oldsmobile-alero-coupe-2.4-16v-152hp-1612,https://www.auto-data.net/en/oldsmobile-alero-coupe-2.4-16v-152hp-1612
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-alero-model-209,https://www.auto-data.net/en/oldsmobile-alero-model-209,oldsmobile-alero-coupe-generation-423,https://www.auto-data.net/en/oldsmobile-alero-coupe-generation-423,oldsmobile-alero-coupe-2.2-16v-141hp-automatic-29092,https://www.auto-data.net/en/oldsmobile-alero-coupe-2.2-16v-141hp-automatic-29092
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-alero-model-209,https://www.auto-data.net/en/oldsmobile-alero-model-209,oldsmobile-alero-coupe-generation-423,https://www.auto-data.net/en/oldsmobile-alero-coupe-generation-423,oldsmobile-alero-coupe-2.2-16v-141hp-1611,https://www.auto-data.net/en/oldsmobile-alero-coupe-2.2-16v-141hp-1611
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-aurora-model-205,https://www.auto-data.net/en/oldsmobile-aurora-model-205,oldsmobile-aurora-ii-generation-410,https://www.auto-data.net/en/oldsmobile-aurora-ii-generation-410,oldsmobile-aurora-ii-3.5-v6-24v-218hp-1576,https://www.auto-data.net/en/oldsmobile-aurora-ii-3.5-v6-24v-218hp-1576
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-aurora-model-205,https://www.auto-data.net/en/oldsmobile-aurora-model-205,oldsmobile-aurora-i-generation-7170,https://www.auto-data.net/en/oldsmobile-aurora-i-generation-7170,oldsmobile-aurora-i-4.0-v8-32v-253hp-1577,https://www.auto-data.net/en/oldsmobile-aurora-i-4.0-v8-32v-253hp-1577
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-bravada-model-210,https://www.auto-data.net/en/oldsmobile-bravada-model-210,oldsmobile-bravada-iii-generation-424,https://www.auto-data.net/en/oldsmobile-bravada-iii-generation-424,oldsmobile-bravada-iii-4.2-24v-273hp-1614,https://www.auto-data.net/en/oldsmobile-bravada-iii-4.2-24v-273hp-1614
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-bravada-model-210,https://www.auto-data.net/en/oldsmobile-bravada-model-210,oldsmobile-bravada-ii-generation-425,https://www.auto-data.net/en/oldsmobile-bravada-ii-generation-425,oldsmobile-bravada-ii-4.3-v6-193hp-1615,https://www.auto-data.net/en/oldsmobile-bravada-ii-4.3-v6-193hp-1615
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-bravada-model-210,https://www.auto-data.net/en/oldsmobile-bravada-model-210,oldsmobile-bravada-generation-426,https://www.auto-data.net/en/oldsmobile-bravada-generation-426,oldsmobile-bravada-4.3-v6-203hp-1616,https://www.auto-data.net/en/oldsmobile-bravada-4.3-v6-203hp-1616
190,https://www.auto-data.net/en/oldsmobile-brand-14,oldsmobile-cutlass-model-206,https://www.auto-data.net/en/oldsmobile-cutlass-model-206,oldsmobile-cutlass-supreme-generation-415,https://www.auto-data.net/en/oldsmobile-cutlass-supreme-generation-415,oldsmobile-cutlass-supreme-3.4-v6-213hp-1591,https://www.auto-data.net/en/oldsmobile-cutlass-supreme-3.4-v6-213hp-1591
