,brands_url,models,models_url,generations,generations_url,modifications,modifications_url
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-long-ii-dt-generation-6260,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-generation-6260,ram-1500-crew-cab-long-ii-dt-5.7-hemi-v8-etorque-395hp-automatic-33129,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-5.7-hemi-v8-etorque-395hp-automatic-33129
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-long-ii-dt-generation-6260,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-generation-6260,ram-1500-crew-cab-long-ii-dt-5.7-hemi-v8-etorque-395hp-4wd-automatic-33130,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-5.7-hemi-v8-etorque-395hp-4wd-automatic-33130
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-long-ii-dt-generation-6260,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-generation-6260,ram-1500-crew-cab-long-ii-dt-5.7-hemi-v8-395hp-automatic-33135,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-5.7-hemi-v8-395hp-automatic-33135
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-long-ii-dt-generation-6260,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-generation-6260,ram-1500-crew-cab-long-ii-dt-5.7-hemi-v8-395hp-4wd-automatic-33136,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-5.7-hemi-v8-395hp-4wd-automatic-33136
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-long-ii-dt-generation-6260,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-generation-6260,ram-1500-crew-cab-long-ii-dt-3.6-pentastar-v6-etorque-305hp-automatic-33134,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-3.6-pentastar-v6-etorque-305hp-automatic-33134
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-long-ii-dt-generation-6260,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-generation-6260,ram-1500-crew-cab-long-ii-dt-3.6-pentastar-v6-etorque-305hp-4wd-automatic-33133,https://www.auto-data.net/en/ram-1500-crew-cab-long-ii-dt-3.6-pentastar-v6-etorque-305hp-4wd-automatic-33133
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-ii-dt-generation-6258,https://www.auto-data.net/en/ram-1500-crew-cab-ii-dt-generation-6258,ram-1500-crew-cab-ii-dt-trx-6.2-hemi-supercharged-v8-702hp-4wd-automatic-42563,https://www.auto-data.net/en/ram-1500-crew-cab-ii-dt-trx-6.2-hemi-supercharged-v8-702hp-4wd-automatic-42563
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-ii-dt-generation-6258,https://www.auto-data.net/en/ram-1500-crew-cab-ii-dt-generation-6258,ram-1500-crew-cab-ii-dt-5.7-hemi-v8-etorque-395hp-automatic-33131,https://www.auto-data.net/en/ram-1500-crew-cab-ii-dt-5.7-hemi-v8-etorque-395hp-automatic-33131
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-ii-dt-generation-6258,https://www.auto-data.net/en/ram-1500-crew-cab-ii-dt-generation-6258,ram-1500-crew-cab-ii-dt-5.7-hemi-v8-etorque-395hp-4wd-automatic-33132,https://www.auto-data.net/en/ram-1500-crew-cab-ii-dt-5.7-hemi-v8-etorque-395hp-4wd-automatic-33132
214,https://www.auto-data.net/en/ram-brand-240,ram-1500-model-2427,https://www.auto-data.net/en/ram-1500-model-2427,ram-1500-crew-cab-ii-dt-generation-6258,https://www.auto-data.net/en/ram-1500-crew-cab-ii-dt-generation-6258,ram-1500-crew-cab-ii-dt-5.7-hemi-v8-395hp-automatic-33120,https://www.auto-data.net/en/ram-1500-crew-cab-ii-dt-5.7-hemi-v8-395hp-automatic-33120
