,brands_url,models,models_url,generations,generations_url,modifications,modifications_url
268,https://www.auto-data.net/en/vanderhall-brand-261,vanderhall-venice-model-2554,https://www.auto-data.net/en/vanderhall-venice-model-2554,vanderhall-venice-generation-6702,https://www.auto-data.net/en/vanderhall-venice-generation-6702,vanderhall-venice-1.4-t-180hp-automatic-34951,https://www.auto-data.net/en/vanderhall-venice-1.4-t-180hp-automatic-34951
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-agila-model-674,https://www.auto-data.net/en/vauxhall-agila-model-674,vauxhall-agila-generation-1407,https://www.auto-data.net/en/vauxhall-agila-generation-1407,vauxhall-agila-1.2-16v-75hp-6062,https://www.auto-data.net/en/vauxhall-agila-1.2-16v-75hp-6062
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-agila-model-674,https://www.auto-data.net/en/vauxhall-agila-model-674,vauxhall-agila-generation-1407,https://www.auto-data.net/en/vauxhall-agila-generation-1407,vauxhall-agila-1.0-12v-58hp-6061,https://www.auto-data.net/en/vauxhall-agila-1.0-12v-58hp-6061
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-antara-model-2173,https://www.auto-data.net/en/vauxhall-antara-model-2173,vauxhall-antara-facelift-2010-generation-5133,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-generation-5133,vauxhall-antara-facelift-2010-2.2-cdti-184hp-4x4-automatic-25903,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-2.2-cdti-184hp-4x4-automatic-25903
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-antara-model-2173,https://www.auto-data.net/en/vauxhall-antara-model-2173,vauxhall-antara-facelift-2010-generation-5133,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-generation-5133,vauxhall-antara-facelift-2010-2.2-cdti-184hp-4x4-25722,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-2.2-cdti-184hp-4x4-25722
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-antara-model-2173,https://www.auto-data.net/en/vauxhall-antara-model-2173,vauxhall-antara-facelift-2010-generation-5133,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-generation-5133,vauxhall-antara-facelift-2010-2.2-cdti-163hp-4x4-automatic-25803,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-2.2-cdti-163hp-4x4-automatic-25803
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-antara-model-2173,https://www.auto-data.net/en/vauxhall-antara-model-2173,vauxhall-antara-facelift-2010-generation-5133,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-generation-5133,vauxhall-antara-facelift-2010-2.2-cdti-163hp-4x4-25752,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-2.2-cdti-163hp-4x4-25752
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-antara-model-2173,https://www.auto-data.net/en/vauxhall-antara-model-2173,vauxhall-antara-facelift-2010-generation-5133,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-generation-5133,vauxhall-antara-facelift-2010-2.2-cdti-163hp-25827,https://www.auto-data.net/en/vauxhall-antara-facelift-2010-2.2-cdti-163hp-25827
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-antara-model-2173,https://www.auto-data.net/en/vauxhall-antara-model-2173,vauxhall-antara-generation-5132,https://www.auto-data.net/en/vauxhall-antara-generation-5132,vauxhall-antara-3.2-v6-24v-227hp-4x4-25802,https://www.auto-data.net/en/vauxhall-antara-3.2-v6-24v-227hp-4x4-25802
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-antara-model-2173,https://www.auto-data.net/en/vauxhall-antara-model-2173,vauxhall-antara-generation-5132,https://www.auto-data.net/en/vauxhall-antara-generation-5132,vauxhall-antara-2.4-16v-140hp-4x4-25741,https://www.auto-data.net/en/vauxhall-antara-2.4-16v-140hp-4x4-25741
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-antara-model-2173,https://www.auto-data.net/en/vauxhall-antara-model-2173,vauxhall-antara-generation-5132,https://www.auto-data.net/en/vauxhall-antara-generation-5132,vauxhall-antara-2.0-cdti-ecotec-150hp-4x4-automatic-25721,https://www.auto-data.net/en/vauxhall-antara-2.0-cdti-ecotec-150hp-4x4-automatic-25721
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-antara-model-2173,https://www.auto-data.net/en/vauxhall-antara-model-2173,vauxhall-antara-generation-5132,https://www.auto-data.net/en/vauxhall-antara-generation-5132,vauxhall-antara-2.0-cdti-ecotec-150hp-4x4-25766,https://www.auto-data.net/en/vauxhall-antara-2.0-cdti-ecotec-150hp-4x4-25766
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-arena-model-679,https://www.auto-data.net/en/vauxhall-arena-model-679,vauxhall-arena-generation-1416,https://www.auto-data.net/en/vauxhall-arena-generation-1416,vauxhall-arena-2.5-d-75hp-6083,https://www.auto-data.net/en/vauxhall-arena-2.5-d-75hp-6083
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-arena-model-679,https://www.auto-data.net/en/vauxhall-arena-model-679,vauxhall-arena-generation-1416,https://www.auto-data.net/en/vauxhall-arena-generation-1416,vauxhall-arena-1.9-d-60hp-6082,https://www.auto-data.net/en/vauxhall-arena-1.9-d-60hp-6082
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-astra-model-684,https://www.auto-data.net/en/vauxhall-astra-model-684,vauxhall-astra-mk-viii-generation-8703,https://www.auto-data.net/en/vauxhall-astra-mk-viii-generation-8703,vauxhall-astra-mk-viii-1.6-turbo-180hp-plug-in-hybrid-automatic-45096,https://www.auto-data.net/en/vauxhall-astra-mk-viii-1.6-turbo-180hp-plug-in-hybrid-automatic-45096
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-astra-model-684,https://www.auto-data.net/en/vauxhall-astra-model-684,vauxhall-astra-mk-viii-generation-8703,https://www.auto-data.net/en/vauxhall-astra-mk-viii-generation-8703,vauxhall-astra-mk-viii-1.5-turbo-d-130hp-automatic-45095,https://www.auto-data.net/en/vauxhall-astra-mk-viii-1.5-turbo-d-130hp-automatic-45095
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-astra-model-684,https://www.auto-data.net/en/vauxhall-astra-model-684,vauxhall-astra-mk-viii-generation-8703,https://www.auto-data.net/en/vauxhall-astra-mk-viii-generation-8703,vauxhall-astra-mk-viii-1.5-turbo-d-130hp-45094,https://www.auto-data.net/en/vauxhall-astra-mk-viii-1.5-turbo-d-130hp-45094
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-astra-model-684,https://www.auto-data.net/en/vauxhall-astra-model-684,vauxhall-astra-mk-viii-generation-8703,https://www.auto-data.net/en/vauxhall-astra-mk-viii-generation-8703,vauxhall-astra-mk-viii-1.2-turbo-130hp-automatic-45093,https://www.auto-data.net/en/vauxhall-astra-mk-viii-1.2-turbo-130hp-automatic-45093
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-astra-model-684,https://www.auto-data.net/en/vauxhall-astra-model-684,vauxhall-astra-mk-viii-generation-8703,https://www.auto-data.net/en/vauxhall-astra-mk-viii-generation-8703,vauxhall-astra-mk-viii-1.2-turbo-130hp-45092,https://www.auto-data.net/en/vauxhall-astra-mk-viii-1.2-turbo-130hp-45092
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-astra-model-684,https://www.auto-data.net/en/vauxhall-astra-model-684,vauxhall-astra-mk-viii-generation-8703,https://www.auto-data.net/en/vauxhall-astra-mk-viii-generation-8703,vauxhall-astra-mk-viii-1.2-turbo-110hp-45091,https://www.auto-data.net/en/vauxhall-astra-mk-viii-1.2-turbo-110hp-45091
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-astra-model-684,https://www.auto-data.net/en/vauxhall-astra-model-684,vauxhall-astra-mk-vii-facelift-2019-generation-7561,https://www.auto-data.net/en/vauxhall-astra-mk-vii-facelift-2019-generation-7561,vauxhall-astra-mk-vii-facelift-2019-1.5-turbo-d-122hp-automatic-39200,https://www.auto-data.net/en/vauxhall-astra-mk-vii-facelift-2019-1.5-turbo-d-122hp-automatic-39200
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-astra-model-684,https://www.auto-data.net/en/vauxhall-astra-model-684,vauxhall-astra-mk-vii-facelift-2019-generation-7561,https://www.auto-data.net/en/vauxhall-astra-mk-vii-facelift-2019-generation-7561,vauxhall-astra-mk-vii-facelift-2019-1.5-turbo-d-122hp-39199,https://www.auto-data.net/en/vauxhall-astra-mk-vii-facelift-2019-1.5-turbo-d-122hp-39199
269,https://www.auto-data.net/en/vauxhall-brand-60,vauxhall-astra-model-684,https://www.auto-data.net/en/vauxhall-astra-model-684,vauxhall-astra-mk-vii-facelift-2019-generation-7561,https://www.auto-data.net/en/vauxhall-astra-mk-vii-facelift-2019-generation-7561,vauxhall-astra-mk-vii-facelift-2019-1.5-turbo-d-105hp-39198,https://www.auto-data.net/en/vauxhall-astra-mk-vii-facelift-2019-1.5-turbo-d-105hp-39198
