Brand,Model,Generation,Modification (Engine),Start of production,Powertrain Architecture,Body type,Seats,Doors,Performance specs,Fuel Type,Weight-to-power ratio,Weight-to-torque ratio,Engine specs,Power,Power per litre,Torque,Engine location,Engine displacement,Number of cylinders,Position of cylinders,Engine aspiration,Valvetrain,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",Kerb Weight,Dimensions,Length,Width,Width including mirrors,Height,Wheelbase,"Drivetrain, brakes and suspension specs",Drivetrain Architecture,Drive wheel,Number of Gears (automatic transmission),Front suspension,Rear suspension,Front brakes,Rear brakes,Power steering,Tires size,Wheel rims size,Number of valves per cylinder,End of production,Cylinder Bore,Piston Stroke,Fuel System,Fuel tank capacity,Assisting systems,Steering type,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net),Acceleration 0 - 200 km/h,Number of Gears (manual transmission),Fuel consumption (economy) - urban,Fuel consumption (economy) - extra urban,Maximum speed,Compression ratio,Front track,Rear (Back) track,Maximum engine speed,Drag coefficient (Cd),Trunk (boot) space - minimum,Engine Model/Code,Max. weight,Max load,Ride height (ground clearance),Minimum turning circle (turning diameter),Fuel consumption (economy) - combined,Trunk (boot) space - maximum,Engine systems,Engine oil capacity,Emission standard,Coolant,CO2 emissions,Front overhang,Rear overhang,Electric cars and hybrids specs,Gross battery capacity,All-electric range,Electric motor 1,Electric motor power,Electric motor Torque,System power,Width with mirrors folded,Permitted trailer load with brakes (12%),Permitted trailer load without brakes,Oil viscosity,Net (usable) battery capacity,Battery technology,All-electric range (WLTP),Average Energy consumption (WLTP),System torque,Permitted towbar download,Fuel consumption at Low speed (WLTP),Fuel consumption at Medium speed (WLTP),Fuel consumption at high speed (WLTP),Fuel consumption at very high speed (WLTP),Combined fuel consumption (WLTP),CO2 emissions (WLTP),Approach angle,Departure angle,Wading depth,Max speed (electric),Electric motor 2,Internal combustion engine specs,AdBlue tank,Max. roof load,Permitted trailer load with brakes (8%),Fuel consumption (economy) - urban (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - combined (NEDC),CO2 emissions (NEDC),Engine oil specification,All-electric range (NEDC),Ramp angle,Climb angle,Acceleration 0 - 300 km/h,Acceleration 0 - 60 mph,"Fuel consumption (economy) - urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","CO2 emissions (NEDC, WLTP equivalent)",Battery voltage,Average Energy consumption (NEDC),100 km/h - 0,200 km/h - 0,Average Energy consumption
Pagani,Huayra,Huayra Imola,6.0 V12 (827 Hp) Xtrac,"September, 2019 year",Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),"1.5 kg/Hp, 663.7 Hp/tonne","1.1 kg/Nm, 882.8 Nm/tonne",Engine specs,827 Hp,138.3 Hp/l,1100 Nm  811.32 lb.-ft.,"Middle, Longitudinal",5980 cm3 364.92 cu. in.,12,V-engine,"Twin-Turbo, Intercooler",SOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1246 kg  2746.96 lbs.,Dimensions,4853 mm  191.06 in.,2035 mm  80.12 in.,2264 mm  89.13 in.,1269 mm  49.96 in.,2795 mm  110.04 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7 Xtrac,Double wishbone,Double wishbone,"Ventilated discs, 398x36 mm","Ventilated discs, 380x34 mm",Electric Steering,Front wheel tires: 265/30 R20Rear wheel tires: 355/23 R21,Front wheel rims: 20Rear wheel rims: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,Huayra,Huayra Roadster BC,6.0 V12 (802 Hp) Xtrac,"July, 2019 year",Internal Combustion engine,"Cabriolet, Roadster",2,2,Performance specs,Petrol (Gasoline),"1.6 kg/Hp, 641.6 Hp/tonne","1.2 kg/Nm, 840 Nm/tonne",Engine specs,802 Hp @ 5900 rpm.,134.1 Hp/l,1050 Nm @ 2000-5600 rpm.  774.44 lb.-ft. @ 2000-5600 rpm.,"Middle, Longitudinal",5980 cm3 364.92 cu. in.,12,V-engine,"Twin-Turbo, Intercooler",,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1250 kg  2755.78 lbs.,,,,,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7 Xtrac,Double wishbone,Double wishbone,"Ventilated discs, 398 mm","Ventilated discs, 380 mm",,Front wheel tires: 265/30 R20Rear wheel tires: 355/25 R21,Front wheel rims: 20Rear wheel rims: 21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,Huayra,Huayra Roadster,6.0 V12 (764 Hp) Automatic,2017 year,Internal Combustion engine,Roadster,2,2,Performance specs,Petrol (Gasoline),"1.7 kg/Hp, 596.9 Hp/tonne","1.3 kg/Nm, 781.3 Nm/tonne",Engine specs,764 Hp @ 5500 rpm.,127.8 Hp/l,1000 Nm @ 2300-4300 rpm.  737.56 lb.-ft. @ 2300-4300 rpm.,"Middle, Longitudinal",5980 cm3 364.92 cu. in.,12,V-engine,"Twin-Turbo, Intercooler",SOHC,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1280 kg  2821.92 lbs.,Dimensions,4605 mm  181.3 in.,2036 mm  80.16 in.,,1169 mm  46.02 in.,2795 mm  110.04 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7,Double wishbone,Double wishbone,"Ventilated discs, 398 mm","Ventilated discs, 380 mm",Electric Steering,255/30 ZR20; 325/25 ZR21,20; 21,3,2019 year,82.6 mm  3.25 in.,93 mm  3.66 in.,Multi-point indirect injection,85 l  22.45 US gal | 18.7 UK gal,ABS (Anti-lock braking system),Steering rack and pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,Huayra,Huayra BC,6.0 V12 36V (750 Hp) Automatic,2016 year,Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),"1.6 kg/Hp, 615.8 Hp/tonne","1.2 kg/Nm, 821 Nm/tonne",Engine specs,750 Hp @ 6200 rpm.,125.4 Hp/l,1000 Nm @ 4000 rpm.  737.56 lb.-ft. @ 4000 rpm.,"Middle, Longitudinal",5980 cm3 364.92 cu. in.,12,V-engine,"Twin-Turbo, Intercooler",,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1218 kg  2685.23 lbs.,Dimensions,4724 mm  185.98 in.,1934 mm  76.14 in.,2040 mm  80.31 in.,1174 mm  46.22 in.,2795 mm  110.04 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7,Double wishbone,Double wishbone,Ventilated discs,Ventilated discs,Electric Steering,,,3,2019 year,,,,,ABS (Anti-lock braking system),Steering rack and pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,Huayra,Huayra,6.0 V12 (730 Hp) Automatic,2011 year,Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),"1.8 kg/Hp, 540.7 Hp/tonne","1.4 kg/Nm, 740.7 Nm/tonne",Engine specs,730 Hp @ 5800 rpm.,122.1 Hp/l,1000 Nm @ 2250 rpm.  737.56 lb.-ft. @ 2250 rpm.,"Middle, Longitudinal",5980 cm3 364.92 cu. in.,12,V-engine,"Twin-Turbo, Intercooler",,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1350 kg  2976.24 lbs.,Dimensions,4605 mm  181.3 in.,2036 mm  80.16 in.,2356 mm  92.76 in.,1169 mm  46.02 in.,2036 mm  80.16 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,7,,,Ventilated discs,Ventilated discs,Electric Steering,,,,2018 year,,,,,ABS (Anti-lock braking system),Steering rack and pinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,Zonda,Zonda R,Revolucion 6.0 V12 48V (800 Hp) Automatic,2013 year,Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),"1.3 kg/Hp, 747.7 Hp/tonne","1.5 kg/Nm, 663.6 Nm/tonne",Engine specs,800 Hp @ 8000 rpm.,133.6 Hp/l,710 Nm @ 5700 rpm.  523.67 lb.-ft. @ 5700 rpm.,"Middle, Longitudinal",5987 cm3 365.35 cu. in.,12,V-engine,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1070 kg  2358.95 lbs.,Dimensions,4886 mm  192.36 in.,2014 mm  79.29 in.,,1141 mm  44.92 in.,2785 mm  109.65 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,Double wishbone,Double wishbone,Ventilated discs,Ventilated discs,Electric Steering,Front wheel tires: 255/35 R19; 255/645 R19Rear wheel tires: 335/30 R20; 335/705 R20,Front wheel rims: 19Rear wheel rims: 20,4,2013 year,89 mm  3.5 in.,80.2 mm  3.16 in.,,,ABS (Anti-lock braking system),Steering rack and pinion,2.6 sec,2.6 sec,2.5 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,Zonda,Zonda R,6.0 V12 48V (749 Hp) Automatic,2009 year,Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),"1.4 kg/Hp, 700 Hp/tonne","1.5 kg/Nm, 663.6 Nm/tonne",Engine specs,749 Hp @ 7500 rpm.,125.1 Hp/l,710 Nm @ 5700 rpm.  523.67 lb.-ft. @ 5700 rpm.,"Middle, Longitudinal",5987 cm3 365.35 cu. in.,12,V-engine,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1070 kg  2358.95 lbs.,Dimensions,4886 mm  192.36 in.,2014 mm  79.29 in.,,1141 mm  44.92 in.,2785 mm  109.65 in.,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,Double wishbone,Double wishbone,Ventilated discs,Ventilated discs,Electric Steering,255/35 R19; 335/30 R20,,4,2011 year,89 mm  3.5 in.,80.2 mm  3.16 in.,,,ABS (Anti-lock braking system),Steering rack and pinion,2.7 sec,2.7 sec,2.6 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,Zonda,Zonda Cinque Roadster,7.3 V12 (678 Hp) Automatic,2008 year,Internal Combustion engine,Roadster,2,2,Performance specs,Petrol (Gasoline),"1.8 kg/Hp, 560.3 Hp/tonne","1.6 kg/Nm, 644.6 Nm/tonne",Engine specs,678 Hp @ 6400 rpm.,93 Hp/l,780 Nm @ 4000 rpm.  575.3 lb.-ft. @ 4000 rpm.,"Middle, Longitudinal",7291 cm3 444.92 cu. in.,12,V-engine,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1210 kg  2667.59 lbs.,,,,,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,Double wishbone,Double wishbone,Ventilated discs,Ventilated discs,Electric Steering,255/35 R19; 335/30 R20,19; 20,,2009 year,,,,,ABS (Anti-lock braking system),Steering rack and pinion,3.4 sec,3.4 sec,3.2 sec,9.6 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,Zonda,Zonda Cinque,Tricolore 7.3 V12 (678 Hp) Automatic,2010 year,Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),"1.8 kg/Hp, 560.3 Hp/tonne","1.6 kg/Nm, 644.6 Nm/tonne",Engine specs,678 Hp @ 6400 rpm.,93 Hp/l,780 Nm @ 4000 rpm.  575.3 lb.-ft. @ 4000 rpm.,"Middle, Longitudinal",7291 cm3 444.92 cu. in.,12,V-engine,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1210 kg  2667.59 lbs.,,,,,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,Double wishbone,Double wishbone,Ventilated discs,Ventilated discs,Electric Steering,255/35 R19; 335/30 R20,19; 20,,2010 year,,,,,ABS (Anti-lock braking system),Steering rack and pinion,3.4 sec,3.4 sec,3.2 sec,9.6 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,Zonda,Zonda Cinque,7.3 V12 (678 Hp) Automatic,2008 year,Internal Combustion engine,Coupe,2,2,Performance specs,Petrol (Gasoline),"1.8 kg/Hp, 560.3 Hp/tonne","1.6 kg/Nm, 644.6 Nm/tonne",Engine specs,678 Hp @ 6400 rpm.,93 Hp/l,780 Nm @ 4000 rpm.  575.3 lb.-ft. @ 4000 rpm.,"Middle, Longitudinal",7291 cm3 444.92 cu. in.,12,V-engine,Naturally aspirated engine,,(adsbygoogle = window.adsbygoogle || []).push({});,"Space, Volume and weights",1210 kg  2667.59 lbs.,,,,,,,"Drivetrain, brakes and suspension specs",The Internal combustion engine (ICE) drives the rear wheels of the vehicle.,Rear wheel drive,6,Double wishbone,Double wishbone,Ventilated discs,Ventilated discs,Electric Steering,255/35 R19; 335/30 R20,19; 20,,2009 year,,,,,ABS (Anti-lock braking system),Steering rack and pinion,3.4 sec,3.4 sec,3.2 sec,9.6 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
